GBP1	GBP3	GBP5	GBP7
22.250	21.188	21.313	20.500	
22.188	21.188	21.313	20.500	
22.188	21.188	21.313	20.563	
22.188	21.188	21.313	20.563	
22.125	21.188	21.313	20.500	
22.125	21.188	21.375	20.563	
22.125	21.188	21.500	20.500	
22.125	21.188	21.500	20.500	
22.125	21.188	21.313	20.500	
22.125	21.313	21.313	20.500	
22.125	21.250	21.313	20.500	
22.125	21.250	21.313	20.500	
22.063	21.188	21.313	20.500	
22.063	21.188	21.313	20.500	
22.063	21.188	21.250	20.563	
22.063	21.313	21.250	20.563	
22.063	21.125	21.313	20.500	
22.063	21.250	21.313	20.500	
22.063	21.125	21.313	20.500	
22.063	21.188	21.313	20.625	
22.000	21.125	21.500	20.500	
22.063	21.125	21.500	20.500	
21.938	21.125	21.313	20.500	
22.063	21.125	21.313	20.500	
21.938	21.125	21.250	20.438	
22.063	21.125	21.250	20.438	
21.938	21.125	21.313	20.500	
21.938	21.125	21.500	20.438	
21.938	21.188	21.250	20.438	
21.938	21.125	21.250	20.500	
21.938	21.125	21.250	20.500	
21.938	21.188	21.250	20.500	
22.000	21.250	21.250	20.625	
22.000	21.250	21.313	20.625	
22.000	21.250	21.438	20.500	
22.000	21.250	21.438	20.500	
21.938	21.125	21.250	20.438	
21.938	21.125	21.250	20.500	
21.813	21.125	21.250	20.438	
21.938	21.250	21.250	20.438	
21.813	21.063	21.250	20.438	
21.875	21.188	21.375	20.438	
21.813	21.125	21.250	20.438	
21.875	21.125	21.250	20.500	
21.750	21.125	21.188	20.438	
21.813	21.063	21.250	20.625	
21.750	21.063	21.188	20.563	
21.750	21.063	21.313	20.563	
21.750	21.063	21.375	20.438	
21.750	21.063	21.375	20.563	
21.750	21.125	21.188	20.500	
21.750	21.188	21.188	20.500	
21.750	21.063	21.188	20.438	
21.750	21.063	21.188	20.438	
21.688	21.063	21.188	20.438	
21.688	21.125	21.313	20.438	
21.688	21.188	21.188	20.438	
21.688	21.188	21.188	20.438	
21.625	21.125	21.188	20.438	
21.625	21.125	21.188	20.563	
21.625	21.063	21.188	20.500	
21.625	21.063	21.250	20.500	
21.625	21.063	21.313	20.563	
21.625	21.125	21.313	20.563	
21.625	21.000	21.125	20.438	
21.625	21.063	21.188	20.438	
21.625	21.063	21.188	20.438	
21.625	21.063	21.125	20.438	
21.625	21.063	21.188	20.438	
21.625	21.063	21.250	20.438	
21.625	21.000	21.125	20.438	
21.563	21.000	21.125	20.438	
21.563	21.000	21.125	20.438	
21.563	21.000	21.125	20.500	
21.563	21.000	21.125	20.438	
21.563	21.000	21.125	20.438	
21.563	21.000	21.250	20.563	
21.563	21.000	21.250	20.563	
21.500	21.000	21.125	20.438	
21.563	21.063	21.125	20.500	
21.500	21.125	21.063	20.438	
21.563	21.125	21.125	20.438	
21.500	21.125	21.125	20.438	
21.625	21.125	21.313	20.438	
21.500	21.000	21.063	20.375	
21.625	21.000	21.063	20.438	
21.500	21.000	21.063	20.438	
21.563	21.125	21.063	20.438	
21.438	21.000	21.063	20.438	
21.438	21.063	21.125	20.563	
21.500	20.938	21.188	20.563	
21.500	20.938	21.188	20.563	
21.500	20.938	21.063	20.438	
21.500	20.938	21.063	20.563	
21.500	20.938	21.063	20.438	
21.500	20.938	21.063	20.438	
21.500	20.938	21.063	20.438	
21.500	21.000	21.250	20.438	
21.500	20.938	21.063	20.375	
21.500	20.938	21.063	20.438	
21.375	20.938	21.063	20.438	
21.500	20.938	21.000	20.375	
21.375	20.938	21.063	20.438	
21.438	21.000	21.063	20.563	
21.375	21.063	21.188	20.438	
21.438	21.063	21.188	20.438	
21.375	21.000	21.000	20.563	
21.375	21.000	21.000	20.563	
21.375	20.938	21.000	20.438	
21.375	20.938	21.000	20.438	
21.375	20.938	21.000	20.438	
21.375	21.063	21.188	20.438	
21.375	20.875	21.000	20.438	
21.375	20.938	21.000	20.438	
21.313	20.875	21.000	20.438	
21.313	20.938	21.000	20.438	
21.313	20.875	21.000	20.438	
21.313	20.875	21.063	20.500	
21.313	20.875	21.125	20.375	
21.313	20.938	21.125	20.375	
21.375	20.938	21.000	20.500	
21.313	20.938	21.000	20.500	
21.313	20.875	21.000	20.438	
21.313	20.875	20.938	20.438	
21.313	20.938	21.000	20.438	
21.313	20.875	21.125	20.438	
21.313	20.875	20.938	20.375	
21.313	21.000	20.938	20.438	
21.313	21.000	21.000	20.438	
