GBP1	GBP3	GBP5	GBP7
22.000	20.813	20.750	20.375	
22.000	20.750	20.750	20.375	
22.000	20.750	20.688	20.438	
22.000	20.750	20.875	20.375	
22.000	20.750	20.688	20.375	
22.000	20.750	20.750	20.438	
22.000	20.750	20.688	20.375	
22.000	20.750	20.750	20.375	
22.000	20.750	20.750	20.500	
22.000	20.750	20.750	20.500	
22.000	20.750	20.875	20.375	
22.063	20.750	20.875	20.375	
22.000	20.750	20.750	20.375	
22.125	20.813	20.750	20.375	
22.000	20.938	20.750	20.375	
22.125	20.938	20.750	20.375	
22.000	20.875	20.750	20.375	
22.063	20.875	20.938	20.375	
22.063	20.750	20.750	20.375	
22.063	20.750	20.750	20.438	
22.063	20.813	20.750	20.438	
22.063	20.875	20.750	20.438	
22.125	20.813	20.750	20.500	
22.125	20.875	20.813	20.500	
22.125	20.750	20.938	20.438	
22.125	20.750	20.938	20.500	
22.125	20.750	20.750	20.375	
22.125	20.750	20.813	20.375	
22.188	20.750	20.750	20.375	
22.188	20.750	20.750	20.375	
22.063	20.750	20.750	20.375	
22.188	20.813	20.938	20.375	
22.063	20.813	20.750	20.375	
22.125	20.813	20.813	20.375	
22.063	20.813	20.813	20.375	
22.125	20.813	20.813	20.500	
22.125	20.813	20.813	20.438	
22.188	20.875	20.813	20.438	
22.063	21.000	21.000	20.438	
22.063	21.000	21.000	20.500	
22.125	20.938	20.813	20.375	
22.125	20.938	20.813	20.375	
22.125	20.813	20.813	20.375	
22.125	20.813	20.813	20.375	
22.125	20.813	20.813	20.375	
22.125	20.938	20.938	20.375	
22.125	20.813	20.813	20.375	
22.125	20.875	20.813	20.375	
22.125	20.813	20.813	20.375	
22.125	20.813	20.813	20.500	
22.125	20.813	20.813	20.375	
22.125	20.813	20.938	20.375	
22.125	20.813	21.000	20.563	
22.125	20.813	21.000	20.563	
22.188	20.875	20.813	20.375	
22.188	20.813	20.813	20.438	
22.125	20.875	20.813	20.375	
22.188	20.875	20.813	20.438	
22.188	20.813	20.938	20.375	
22.188	20.875	20.938	20.375	
22.188	20.875	20.875	20.375	
22.188	20.938	20.875	20.375	
22.188	21.000	20.875	20.375	
22.188	21.000	20.875	20.375	
22.188	20.938	20.875	20.438	
22.188	20.938	20.938	20.500	
22.188	20.875	21.063	20.500	
22.188	20.875	21.063	20.500	
22.188	20.875	20.875	20.375	
22.188	21.000	20.875	20.500	
22.250	20.875	20.875	20.438	
22.188	20.938	20.875	20.375	
22.188	20.875	20.938	20.375	
22.250	20.875	20.938	20.375	
22.188	20.875	20.875	20.438	
22.250	20.875	20.875	20.438	
22.250	20.875	20.875	20.438	
22.375	20.938	20.938	20.375	
22.250	20.875	20.938	20.438	
22.313	20.875	21.000	20.563	
22.250	20.875	21.063	20.438	
22.250	20.875	21.063	20.438	
22.250	20.875	20.938	20.500	
22.250	20.875	20.938	20.500	
22.250	20.875	20.938	20.438	
22.250	20.938	20.938	20.438	
22.313	20.875	21.000	20.438	
22.313	21.000	21.000	20.438	
22.375	21.063	20.938	20.438	
22.375	21.063	20.938	20.438	
22.313	20.938	20.938	20.438	
22.313	20.938	20.938	20.438	
22.375	20.938	20.938	20.438	
22.375	21.063	21.063	20.500	
22.250	20.875	20.938	20.438	
22.375	21.000	21.188	20.438	
22.250	20.875	20.938	20.563	
22.313	20.875	20.938	20.563	
22.313	20.938	20.938	20.438	
22.313	20.938	20.938	20.500	
22.250	20.875	21.063	20.438	
22.250	20.875	21.063	20.438	
22.250	20.938	21.000	20.438	
22.313	20.938	21.000	20.438	
22.313	20.938	21.000	20.438	
22.250	20.938	20.938	20.438	
22.313	20.938	20.938	20.438	
22.313	20.938	21.000	20.438	
22.250	20.938	21.000	20.438	
22.250	20.938	21.125	20.563	
22.250	20.938	20.938	20.500	
22.313	21.063	21.000	20.500	
22.250	21.000	21.000	20.438	
22.250	21.000	21.000	20.563	
22.313	21.000	21.063	20.438	
22.313	21.000	21.063	20.438	
22.313	20.938	21.000	20.438	
22.250	21.063	21.000	20.438	
22.313	20.938	21.000	20.438	
22.313	21.000	21.000	20.438	
22.313	20.938	21.000	20.438	
22.313	20.938	21.063	20.438	
22.313	20.938	21.000	20.438	
22.313	20.938	21.188	20.563	
22.313	20.938	21.000	20.438	
22.313	20.938	21.000	20.438	
22.313	20.938	21.000	20.500	
22.313	20.938	21.000	20.500	
22.313	20.938	21.125	20.438	
22.313	20.938	21.125	20.438	
22.313	21.000	21.000	20.438	
22.313	21.000	21.000	20.438	
22.313	20.938	21.000	20.438	
22.313	21.000	21.000	20.438	
22.313	20.938	21.000	20.375	
22.313	21.063	21.188	20.375	
22.313	21.063	21.000	20.438	
22.375	21.063	21.125	20.500	
22.313	21.000	21.000	20.438	
22.375	21.000	21.000	20.438	
22.313	20.938	21.000	20.563	
22.438	21.063	21.000	20.563	
22.313	20.938	21.063	20.438	
22.375	21.000	21.063	20.500	
22.313	20.938	21.063	20.438	
22.313	20.938	21.000	20.438	
22.313	21.000	21.063	20.438	
22.313	21.000	21.063	20.375	
22.313	21.000	21.063	20.438	
22.313	21.000	21.125	20.438	
22.313	21.000	21.063	20.438	
22.313	20.938	21.250	20.438	
22.375	21.000	21.063	20.438	
22.375	21.000	21.000	20.563	
22.438	21.000	21.063	20.500	
22.438	21.000	21.063	20.500	
22.438	21.000	21.125	20.438	
22.438	21.063	21.125	20.563	
22.375	21.125	21.063	20.438	
22.438	21.125	21.063	20.438	
22.313	21.125	21.063	20.375	
22.438	21.125	21.063	20.438	
22.313	21.000	21.063	20.438	
22.375	21.000	21.125	20.438	
22.375	21.000	21.063	20.375	
22.375	21.063	21.250	20.438	
22.313	21.000	21.063	20.438	
22.313	21.063	21.063	20.563	
22.313	21.000	21.063	20.438	
22.375	21.000	21.063	20.438	
22.313	21.000	21.188	20.500	
22.375	21.000	21.188	20.500	
22.375	21.000	21.063	20.438	
22.375	21.000	21.063	20.438	
22.375	21.000	21.063	20.438	
22.375	21.000	21.063	20.438	
22.375	21.000	21.063	20.438	
22.375	21.000	21.188	20.438	
22.375	21.000	21.063	20.438	
22.375	21.000	21.188	20.438	
22.375	21.000	21.063	20.438	
22.375	21.000	21.063	20.438	
22.375	21.188	21.063	20.438	
22.375	21.188	21.063	20.500	
22.375	21.188	21.125	20.563	
22.375	21.188	21.125	20.563	
22.375	21.000	21.063	20.438	
22.375	21.000	21.063	20.500	
22.375	21.000	21.125	20.438	
22.375	21.125	21.063	20.438	
22.375	21.063	21.063	20.438	
22.375	21.063	21.188	20.438	
