GBP1	GBP3	GBP5	GBP7
23.000	23.000	22.750	23.125	
23.000	23.000	22.750	23.125	
23.000	23.000	22.750	23.125	
23.000	23.000	22.750	23.125	
23.000	23.000	22.750	23.125	
23.000	23.000	22.750	23.125	
22.938	23.000	22.750	23.125	
23.000	23.000	22.750	23.125	
22.938	23.000	22.750	23.125	
23.000	23.063	22.813	23.188	
22.938	23.125	22.875	23.125	
23.000	23.125	22.875	23.125	
22.938	23.063	22.750	23.188	
22.938	23.063	22.750	23.188	
22.938	23.000	22.688	23.125	
22.938	23.000	22.750	23.125	
22.938	23.000	22.750	23.125	
22.938	23.063	22.750	23.125	
22.938	23.000	22.750	23.125	
22.938	23.000	22.688	23.125	
22.938	23.000	22.750	23.125	
22.938	23.000	22.688	23.125	
22.938	23.000	22.750	23.125	
22.938	23.000	22.813	23.125	
22.938	23.000	22.750	23.125	
22.938	23.000	22.938	23.188	
22.938	23.063	22.688	23.188	
22.938	23.063	22.688	23.188	
22.938	23.000	22.688	23.125	
22.938	23.000	22.688	23.188	
22.938	23.000	22.813	23.125	
22.938	23.000	22.813	23.125	
22.938	23.000	22.750	23.125	
22.938	23.063	22.688	23.125	
22.938	23.063	22.750	23.125	
22.938	23.063	22.750	23.125	
22.938	23.063	22.688	23.125	
22.938	23.063	22.813	23.125	
22.938	23.000	22.688	23.125	
22.938	23.000	22.875	23.188	
22.938	23.000	22.750	23.125	
22.938	23.063	22.688	23.125	
22.938	23.000	22.750	23.188	
22.938	23.063	22.688	23.188	
22.938	23.000	22.813	23.125	
23.000	23.000	22.813	23.125	
22.938	23.000	22.750	23.125	
23.000	23.000	22.750	23.063	
22.938	23.063	22.750	23.125	
23.000	23.000	22.750	23.125	
22.938	23.000	22.688	23.125	
23.000	23.000	22.813	23.125	
22.938	23.000	22.688	23.125	
22.938	23.000	22.813	23.125	
22.938	23.000	22.688	23.125	
22.938	23.000	22.688	23.125	
22.938	23.000	22.750	23.188	
22.938	23.000	22.688	23.188	
23.000	23.063	22.813	23.125	
23.000	23.063	22.813	23.125	
23.000	23.063	22.750	23.125	
23.000	23.063	22.688	23.125	
23.000	23.000	22.750	23.125	
23.000	23.000	22.750	23.125	
22.938	23.063	22.750	23.125	
23.000	23.063	22.813	23.125	
22.938	23.000	22.750	23.125	
23.000	23.063	22.875	23.125	
22.938	23.000	22.750	23.125	
22.938	23.000	22.688	23.188	
22.938	23.000	22.750	23.188	
22.938	23.000	22.750	23.188	
22.938	23.000	22.813	23.125	
22.938	23.000	22.813	23.188	
23.000	23.000	22.750	23.125	
23.000	23.000	22.813	23.188	
22.938	23.063	22.688	23.125	
22.938	23.063	22.688	23.125	
22.938	23.000	22.750	23.125	
22.938	23.000	22.875	23.125	
22.938	23.063	22.750	23.125	
22.938	23.063	22.813	23.125	
22.938	23.063	22.750	23.125	
22.938	23.125	22.688	23.188	
22.938	23.125	22.750	23.125	
22.938	23.125	22.750	23.125	
22.938	23.063	22.813	23.250	
22.938	23.063	22.813	23.250	
22.938	23.000	22.688	23.125	
22.938	23.125	22.750	23.125	
22.938	23.000	22.750	23.125	
22.938	23.063	22.750	23.125	
22.938	23.000	22.750	23.125	
22.938	23.000	22.813	23.188	
23.000	23.063	22.750	23.188	
23.000	23.063	22.875	23.188	
22.938	23.063	22.750	23.125	
22.938	23.000	22.750	23.188	
22.938	23.000	22.750	23.125	
22.938	23.000	22.750	23.188	
22.938	23.000	22.875	23.188	
22.938	23.000	22.875	23.188	
22.938	23.063	22.750	23.125	
23.000	23.063	22.750	23.188	
22.938	23.063	22.750	23.125	
23.000	23.063	22.750	23.125	
22.938	23.063	22.750	23.125	
23.063	23.125	22.875	23.125	
22.938	23.063	22.750	23.125	
23.063	23.063	22.813	23.125	
22.938	23.063	22.750	23.188	
22.938	23.063	22.750	23.188	
22.938	23.063	22.750	23.188	
22.938	23.125	22.750	23.188	
23.000	23.063	22.813	23.188	
23.000	23.125	22.813	23.188	
23.000	23.000	22.750	23.250	
23.000	23.063	22.750	23.250	
23.000	23.063	22.750	23.188	
23.000	23.063	22.750	23.188	
23.000	23.063	22.750	23.188	
23.000	23.063	22.875	23.188	
22.938	23.063	22.750	23.188	
23.000	23.000	22.813	23.188	
23.000	23.063	22.750	23.188	
23.000	23.063	22.750	23.188	
22.938	23.063	22.750	23.188	
23.000	23.063	22.750	23.188	
23.000	23.063	22.875	23.188	
23.000	23.063	22.875	23.188	
23.000	23.063	22.750	23.250	
23.000	23.063	22.750	23.250	
23.000	23.125	22.750	23.188	
23.000	23.125	22.750	23.188	
23.000	23.063	22.750	23.188	
23.000	23.063	22.938	23.188	
23.000	23.063	22.750	23.188	
22.938	23.125	22.813	23.188	
23.000	23.063	22.750	23.188	
23.000	23.125	22.750	23.188	
23.000	23.063	22.750	23.188	
22.938	23.063	22.813	23.188	
22.938	23.063	22.875	23.188	
23.000	23.063	22.875	23.250	
23.000	23.063	22.813	23.188	
22.938	23.063	22.750	23.188	
23.000	23.063	22.750	23.188	
23.000	23.063	22.750	23.250	
23.000	23.063	22.750	23.188	
23.000	23.063	22.875	23.188	
23.000	23.063	22.813	23.188	
23.000	23.063	22.875	23.188	
23.000	23.063	22.750	23.188	
