GBP1	GBP3	GBP5	GBP7
18.063	17.063	17.125	17.313	
18.063	17.063	17.063	17.313	
18.063	17.063	17.063	17.313	
18.063	17.063	17.188	17.375	
18.125	17.063	17.063	17.313	
18.063	17.063	17.063	17.313	
18.063	17.063	17.063	17.438	
18.063	17.063	17.063	17.438	
18.125	17.063	17.063	17.375	
18.125	17.125	17.125	17.375	
18.125	17.125	17.063	17.375	
18.125	17.125	17.250	17.375	
18.188	17.125	17.125	17.438	
18.188	17.125	17.125	17.375	
18.125	17.125	17.125	17.375	
18.125	17.188	17.125	17.438	
18.188	17.250	17.188	17.438	
18.188	17.250	17.188	17.500	
18.188	17.188	17.125	17.500	
18.188	17.188	17.125	17.500	
18.188	17.125	17.125	17.563	
18.188	17.125	17.125	17.563	
18.250	17.188	17.125	17.500	
18.250	17.313	17.313	17.563	
18.250	17.188	17.125	17.563	
18.250	17.188	17.188	17.563	
18.250	17.188	17.188	17.563	
18.250	17.188	17.188	17.563	
18.313	17.188	17.188	17.625	
18.375	17.188	17.250	17.625	
18.313	17.188	17.313	17.625	
18.375	17.188	17.313	17.688	
18.313	17.188	17.188	17.688	
18.438	17.188	17.188	17.688	
18.313	17.188	17.188	17.750	
18.313	17.250	17.188	17.750	
18.375	17.250	17.313	17.688	
18.375	17.250	17.313	17.688	
18.438	17.250	17.250	17.750	
18.438	17.250	17.250	17.750	
18.500	17.250	17.188	17.750	
18.500	17.313	17.188	17.750	
18.563	17.375	17.188	17.750	
18.563	17.375	17.375	17.750	
18.438	17.375	17.188	17.813	
18.563	17.375	17.313	17.813	
18.438	17.250	17.250	17.813	
18.500	17.250	17.250	17.813	
18.500	17.250	17.250	17.938	
18.500	17.375	17.250	17.938	
18.500	17.250	17.375	17.875	
18.500	17.375	17.375	17.938	
18.563	17.313	17.313	17.938	
18.563	17.313	17.313	17.938	
18.563	17.313	17.313	17.938	
18.563	17.313	17.313	17.938	
18.563	17.313	17.313	18.000	
18.563	17.313	17.375	17.938	
18.563	17.375	17.313	18.000	
18.563	17.375	17.313	18.000	
18.625	17.375	17.313	18.000	
18.625	17.375	17.313	18.063	
18.625	17.375	17.313	18.125	
18.625	17.375	17.438	18.125	
18.625	17.375	17.375	18.063	
18.688	17.375	17.500	18.125	
18.688	17.375	17.375	18.063	
18.688	17.438	17.375	18.125	
18.688	17.563	17.375	18.125	
18.688	17.563	17.375	18.125	
18.750	17.563	17.500	18.188	
18.750	17.563	17.500	18.188	
18.750	17.438	17.375	18.188	
18.750	17.438	17.375	18.188	
18.750	17.438	17.438	18.188	
18.750	17.563	17.438	18.313	
18.813	17.438	17.438	18.313	
18.813	17.563	17.563	18.313	
18.813	17.500	17.438	18.250	
18.875	17.500	17.500	18.375	
18.813	17.500	17.438	18.250	
18.938	17.500	17.438	18.313	
18.875	17.500	17.500	18.313	
19.000	17.500	17.500	18.313	
18.875	17.563	17.563	18.375	
19.063	17.500	17.563	18.375	
18.938	17.563	17.500	18.375	
18.938	17.563	17.500	18.375	
18.938	17.563	17.500	18.375	
18.938	17.563	17.500	18.500	
19.063	17.563	17.563	18.563	
19.063	17.563	17.563	18.563	
19.063	17.625	17.563	18.500	
19.063	17.688	17.563	18.625	
19.125	17.625	17.563	18.500	
19.125	17.750	17.563	18.500	
19.063	17.750	17.563	18.563	
19.188	17.750	17.688	18.500	
19.063	17.688	17.625	18.563	
19.188	17.688	17.688	18.563	
19.063	17.688	17.625	18.563	
19.125	17.750	17.563	18.563	
19.125	17.688	17.625	18.625	
19.125	17.750	17.625	18.813	
19.125	17.688	17.813	18.688	
19.125	17.688	17.813	18.688	
19.188	17.688	17.625	18.688	
19.188	17.688	17.625	18.750	
19.188	17.750	17.688	18.750	
19.188	17.750	17.688	18.750	
19.250	17.750	17.688	18.750	
19.250	17.750	17.750	18.750	
19.250	17.750	17.688	18.750	
19.250	17.813	17.688	18.750	
19.313	17.813	17.688	18.813	
19.313	17.813	17.750	18.813	
19.313	17.813	17.750	18.875	
19.313	17.813	17.813	18.938	
19.375	17.875	17.875	18.875	
19.313	17.875	17.875	18.875	
19.375	17.875	17.750	18.938	
19.375	18.000	17.813	19.000	
19.375	18.000	17.813	18.938	
19.375	18.000	17.813	18.938	
19.438	17.938	17.938	18.938	
19.438	17.938	17.938	19.000	
19.438	17.938	17.813	19.000	
19.438	18.000	17.813	19.000	
19.500	17.938	17.875	19.063	
19.500	18.000	17.875	19.063	
19.500	17.938	17.875	19.125	
19.563	17.938	18.000	19.125	
19.500	17.938	17.875	19.125	
19.625	18.000	18.000	19.125	
19.563	18.000	17.938	19.188	
19.688	18.000	17.938	19.188	
19.563	18.000	17.938	19.188	
19.688	18.000	17.938	19.188	
19.625	18.063	18.063	19.188	
19.625	18.063	18.063	19.188	
19.625	18.063	18.000	19.250	
19.625	18.063	18.000	19.188	
19.688	18.063	18.000	19.250	
19.688	18.063	18.000	19.250	
19.813	18.063	18.000	19.250	
19.813	18.125	18.188	19.313	
19.875	18.125	18.000	19.313	
19.875	18.250	18.000	19.313	
19.875	18.250	18.063	19.438	
19.875	18.250	18.063	19.438	
19.750	18.188	18.063	19.375	
19.938	18.188	18.125	19.375	
19.813	18.188	18.188	19.375	
19.938	18.313	18.188	19.375	
19.813	18.250	18.125	19.438	
19.875	18.313	18.125	19.438	
19.875	18.250	18.188	19.438	
19.875	18.250	18.125	19.500	
19.875	18.250	18.188	19.500	
19.875	18.250	18.188	19.500	
19.938	18.313	18.188	19.500	
19.938	18.250	18.188	19.500	
19.938	18.313	18.188	19.625	
19.938	18.313	18.188	19.625	
20.000	18.313	18.188	19.563	
20.000	18.313	18.313	19.625	
20.000	18.375	18.250	19.625	
20.000	18.375	18.313	19.625	
20.063	18.375	18.250	19.688	
20.063	18.375	18.250	19.688	
20.063	18.375	18.250	19.688	
20.063	18.375	18.250	19.688	
20.063	18.563	18.438	19.750	
20.125	18.563	18.438	19.750	
20.125	18.500	18.313	19.750	
20.125	18.500	18.313	19.813	
20.125	18.438	18.375	19.875	
20.125	18.438	18.375	19.875	
20.188	18.438	18.375	19.813	
20.188	18.563	18.563	19.875	
20.188	18.500	18.438	19.875	
20.188	18.563	18.438	19.813	
20.250	18.500	18.375	19.875	
20.250	18.500	18.438	19.875	
20.250	18.500	18.438	19.875	
20.313	18.563	18.500	19.875	
20.313	18.563	18.625	19.938	
20.375	18.563	18.625	19.938	
20.313	18.563	18.500	20.000	
20.438	18.563	18.438	20.063	
20.375	18.563	18.500	20.000	
20.438	18.625	18.500	20.000	
20.375	18.625	18.563	20.125	
20.500	18.625	18.563	20.125	
20.438	18.625	18.563	20.063	
20.438	18.688	18.563	20.125	
20.438	18.688	18.563	20.063	
20.438	18.750	18.563	20.063	
20.500	18.813	18.563	20.125	
20.500	18.813	18.688	20.125	
20.625	18.813	18.625	20.125	
20.625	18.813	18.750	20.125	
20.625	18.750	18.625	20.188	
20.625	18.750	18.625	20.250	
20.688	18.750	18.625	20.188	
20.688	18.875	18.625	20.188	
20.563	18.750	18.813	20.313	
20.688	18.813	18.813	20.313	
