GBP1	GBP3	GBP5	GBP7
21.125	20.438	20.313	20.563	
21.125	20.563	20.313	20.625	
21.125	20.438	20.313	20.625	
21.125	20.500	20.313	20.688	
21.125	20.438	20.250	20.563	
21.188	20.438	20.313	20.688	
21.125	20.438	20.313	20.625	
21.188	20.438	20.313	20.625	
21.125	20.438	20.313	20.563	
21.188	20.438	20.375	20.625	
21.063	20.438	20.438	20.500	
21.188	20.438	20.438	20.500	
21.063	20.500	20.313	20.500	
21.063	20.500	20.313	20.500	
21.063	20.438	20.313	20.438	
21.063	20.438	20.313	20.438	
21.125	20.438	20.375	20.438	
21.125	20.438	20.375	20.438	
21.125	20.438	20.313	20.375	
21.125	20.500	20.313	20.500	
21.125	20.563	20.313	20.375	
21.125	20.563	20.313	20.375	
21.125	20.438	20.313	20.438	
21.125	20.438	20.375	20.438	
21.188	20.438	20.313	20.313	
21.188	20.563	20.500	20.313	
21.000	20.438	20.313	20.250	
21.063	20.500	20.313	20.250	
21.000	20.438	20.313	20.250	
21.063	20.438	20.313	20.250	
20.938	20.438	20.375	20.250	
21.000	20.438	20.375	20.250	
20.938	20.438	20.313	20.188	
21.000	20.375	20.313	20.250	
20.938	20.375	20.313	20.188	
20.938	20.438	20.313	20.188	
20.938	20.438	20.313	20.250	
20.938	20.438	20.438	20.250	
20.938	20.438	20.313	20.125	
20.938	20.438	20.500	20.188	
20.938	20.438	20.313	20.125	
20.938	20.375	20.313	20.125	
20.938	20.375	20.313	20.125	
20.938	20.500	20.313	20.063	
20.938	20.500	20.375	20.063	
20.938	20.500	20.375	20.063	
20.875	20.438	20.313	20.063	
20.875	20.438	20.313	20.063	
20.875	20.438	20.313	20.063	
20.875	20.563	20.313	20.250	
20.875	20.438	20.313	20.063	
20.875	20.563	20.438	20.063	
20.875	20.375	20.313	20.000	
20.875	20.375	20.438	20.125	
20.875	20.375	20.313	20.000	
20.875	20.375	20.313	20.000	
20.875	20.438	20.313	20.000	
20.875	20.438	20.313	20.000	
20.875	20.438	20.438	20.000	
20.875	20.438	20.438	20.000	
20.875	20.438	20.313	20.000	
20.875	20.375	20.313	20.000	
20.875	20.375	20.313	20.000	
20.875	20.375	20.313	20.063	
20.875	20.375	20.313	20.000	
20.875	20.375	20.438	20.000	
20.875	20.438	20.313	20.125	
20.875	20.563	20.438	20.125	
20.875	20.500	20.313	19.938	
20.938	20.500	20.313	20.000	
20.875	20.438	20.313	19.938	
21.000	20.438	20.313	20.000	
20.875	20.375	20.375	19.938	
21.000	20.563	20.375	19.938	
20.875	20.375	20.313	19.938	
20.875	20.500	20.313	19.938	
20.875	20.438	20.313	20.000	
20.875	20.438	20.313	20.000	
20.875	20.375	20.313	19.938	
20.875	20.375	20.500	20.000	
21.000	20.375	20.313	20.063	
21.000	20.375	20.438	20.063	
21.000	20.438	20.313	19.938	
21.000	20.438	20.313	20.000	
21.000	20.375	20.313	19.938	
21.000	20.375	20.313	19.938	
20.875	20.375	20.438	19.938	
21.000	20.375	20.438	19.938	
20.875	20.375	20.313	20.000	
20.938	20.438	20.313	20.000	
20.875	20.438	20.313	19.938	
20.938	20.563	20.313	20.000	
20.875	20.500	20.313	20.000	
20.875	20.500	20.563	20.125	
20.875	20.438	20.313	20.063	
20.875	20.438	20.438	20.063	
20.875	20.438	20.313	20.063	
20.875	20.500	20.313	20.063	
20.875	20.438	20.313	20.000	
20.875	20.500	20.313	20.000	
20.938	20.375	20.438	20.000	
20.875	20.375	20.438	20.000	
20.875	20.375	20.313	20.000	
20.875	20.375	20.313	20.000	
20.875	20.438	20.313	20.000	
20.875	20.438	20.313	20.000	
20.938	20.375	20.313	20.000	
20.875	20.438	20.500	20.063	
20.875	20.375	20.313	20.000	
20.875	20.375	20.438	20.000	
20.938	20.375	20.375	20.125	
20.938	20.375	20.313	20.125	
20.938	20.438	20.313	20.000	
20.938	20.438	20.313	20.063	
20.938	20.438	20.438	20.000	
20.938	20.500	20.438	20.000	
20.938	20.500	20.313	20.063	
20.938	20.500	20.313	20.063	
20.938	20.438	20.375	20.063	
20.938	20.438	20.375	20.063	
20.938	20.438	20.313	20.063	
20.938	20.500	20.563	20.063	
20.938	20.438	20.313	20.063	
20.938	20.438	20.375	20.250	
21.000	20.438	20.313	20.125	
20.938	20.438	20.313	20.125	
21.000	20.375	20.375	20.063	
21.000	20.438	20.313	20.188	
20.938	20.438	20.438	20.063	
21.000	20.438	20.438	20.063	
20.938	20.438	20.375	20.125	
21.063	20.438	20.375	20.125	
20.938	20.438	20.375	20.063	
21.063	20.438	20.375	20.125	
21.000	20.438	20.375	20.125	
21.063	20.375	20.500	20.125	
21.000	20.438	20.313	20.125	
21.000	20.500	20.438	20.188	
21.000	20.438	20.375	20.125	
21.000	20.563	20.375	20.125	
21.000	20.563	20.375	20.250	
21.000	20.563	20.375	20.250	
21.125	20.500	20.500	20.125	
21.125	20.500	20.500	20.125	
21.125	20.438	20.375	20.125	
21.125	20.563	20.375	20.188	
21.063	20.438	20.375	20.125	
21.063	20.500	20.375	20.125	
21.000	20.438	20.375	20.125	
21.125	20.438	20.500	20.125	
21.000	20.438	20.375	20.125	
21.125	20.438	20.438	20.188	
21.000	20.438	20.375	20.125	
21.063	20.438	20.375	20.125	
21.000	20.438	20.375	20.250	
21.000	20.438	20.375	20.250	
21.000	20.438	20.500	20.188	
21.000	20.438	20.500	20.250	
21.063	20.500	20.375	20.250	
21.063	20.500	20.438	20.250	
21.063	20.438	20.375	20.188	
21.000	20.438	20.375	20.125	
21.000	20.438	20.375	20.188	
