T1	T2	T3	T4	T5	T6	T7	T8	T9	T10	T11	T12	T13	T14	T15	T16
23.250	23.188	23.438	23.188	23.188	23.063	23.313	23.125	23.125	23.188	23.188	23.188	23.250	23.250	22.750	23.125	
23.250	23.188	23.438	23.188	23.188	23.125	23.313	23.125	23.125	23.188	23.188	23.188	23.250	23.250	22.750	23.125	
23.313	23.188	23.500	23.250	23.250	23.125	23.375	23.125	23.188	23.188	23.188	23.188	23.250	23.250	22.813	23.125	
23.313	23.250	23.500	23.250	23.250	23.125	23.375	23.125	23.188	23.188	23.188	23.188	23.313	23.250	22.813	23.125	
23.313	23.250	23.500	23.250	23.250	23.188	23.375	23.188	23.188	23.250	23.250	23.250	23.313	23.313	22.875	23.188	
23.313	23.250	23.500	23.313	23.250	23.188	23.375	23.188	23.188	23.250	23.250	23.250	23.313	23.313	22.875	23.188	
23.375	23.313	23.563	23.313	23.313	23.188	23.438	23.250	23.250	23.250	23.250	23.250	23.375	23.375	22.875	23.188	
23.375	23.313	23.563	23.313	23.313	23.188	23.438	23.250	23.250	23.313	23.250	23.250	23.375	23.375	22.875	23.250	
23.438	23.313	23.563	23.375	23.313	23.250	23.438	23.250	23.250	23.313	23.313	23.313	23.375	23.375	22.875	23.250	
23.438	23.313	23.563	23.375	23.313	23.250	23.438	23.250	23.250	23.313	23.313	23.313	23.375	23.375	22.875	23.250	
23.438	23.375	23.625	23.375	23.375	23.250	23.500	23.313	23.313	23.313	23.313	23.375	23.375	23.438	22.938	23.250	
23.438	23.375	23.625	23.375	23.375	23.250	23.500	23.313	23.313	23.375	23.313	23.375	23.438	23.438	22.938	23.313	
23.500	23.375	23.688	23.438	23.438	23.313	23.563	23.313	23.313	23.375	23.375	23.375	23.438	23.438	23.000	23.313	
23.500	23.375	23.688	23.438	23.438	23.313	23.563	23.313	23.313	23.375	23.375	23.375	23.438	23.438	23.000	23.313	
23.500	23.438	23.688	23.438	23.438	23.313	23.563	23.375	23.313	23.375	23.375	23.375	23.500	23.500	23.000	23.375	
23.500	23.438	23.688	23.438	23.438	23.313	23.563	23.375	23.313	23.375	23.375	23.375	23.500	23.500	23.063	23.375	
23.563	23.438	23.688	23.438	23.438	23.375	23.625	23.375	23.375	23.438	23.438	23.438	23.500	23.500	23.063	23.375	
23.563	23.438	23.750	23.500	23.500	23.375	23.625	23.375	23.375	23.438	23.438	23.438	23.500	23.563	23.063	23.375	
23.563	23.500	23.750	23.500	23.500	23.375	23.625	23.438	23.438	23.438	23.438	23.438	23.563	23.563	23.063	23.438	
23.563	23.500	23.750	23.500	23.500	23.375	23.625	23.438	23.438	23.438	23.500	23.500	23.563	23.563	23.063	23.375	
23.625	23.563	23.813	23.563	23.563	23.438	23.688	23.438	23.438	23.500	23.500	23.500	23.563	23.563	23.125	23.438	
23.563	23.500	23.813	23.563	23.563	23.438	23.688	23.438	23.438	23.500	23.500	23.500	23.563	23.563	23.125	23.438	
23.625	23.563	23.813	23.563	23.563	23.438	23.688	23.500	23.500	23.563	23.500	23.500	23.563	23.625	23.125	23.500	
23.625	23.563	23.813	23.563	23.563	23.438	23.688	23.500	23.438	23.563	23.563	23.563	23.625	23.625	23.125	23.500	
23.625	23.563	23.813	23.625	23.625	23.500	23.750	23.563	23.500	23.563	23.563	23.563	23.625	23.688	23.188	23.500	
23.625	23.563	23.813	23.625	23.625	23.500	23.750	23.563	23.500	23.563	23.563	23.563	23.625	23.688	23.188	23.563	
23.688	23.625	23.875	23.625	23.625	23.500	23.750	23.563	23.563	23.625	23.563	23.563	23.688	23.688	23.188	23.563	
23.688	23.625	23.875	23.625	23.625	23.500	23.750	23.563	23.563	23.563	23.625	23.563	23.688	23.688	23.188	23.563	
23.688	23.625	23.875	23.688	23.688	23.563	23.813	23.563	23.563	23.625	23.625	23.625	23.688	23.688	23.250	23.563	
23.688	23.625	23.875	23.688	23.625	23.563	23.813	23.563	23.563	23.625	23.625	23.625	23.688	23.750	23.250	23.563	
23.750	23.625	23.875	23.688	23.688	23.563	23.813	23.625	23.625	23.625	23.625	23.625	23.688	23.750	23.250	23.625	
23.750	23.625	23.938	23.688	23.688	23.563	23.813	23.625	23.625	23.625	23.625	23.625	23.688	23.750	23.250	23.625	
23.750	23.688	23.938	23.688	23.688	23.625	23.875	23.625	23.625	23.688	23.688	23.688	23.750	23.750	23.313	23.625	
23.750	23.688	23.938	23.688	23.688	23.625	23.875	23.625	23.625	23.688	23.688	23.688	23.750	23.750	23.313	23.625	
23.750	23.688	24.000	23.750	23.750	23.625	23.875	23.688	23.625	23.688	23.688	23.688	23.813	23.813	23.313	23.625	
23.750	23.750	24.000	23.750	23.750	23.625	23.875	23.688	23.625	23.688	23.688	23.688	23.813	23.813	23.313	23.625	
23.813	23.750	24.000	23.750	23.750	23.688	23.875	23.688	23.688	23.750	23.750	23.750	23.813	23.813	23.375	23.688	
