GBP1	GBP3	GBP5	GBP7
19.500	18.250	18.375	18.688	
19.625	18.250	18.500	18.750	
19.500	18.250	18.375	18.688	
19.563	18.250	18.375	18.688	
19.500	18.250	18.375	18.750	
19.500	18.250	18.375	18.750	
19.563	18.250	18.438	18.688	
19.563	18.250	18.438	18.813	
19.500	18.250	18.375	18.750	
19.500	18.375	18.375	18.750	
19.500	18.375	18.375	18.813	
19.500	18.375	18.375	18.813	
19.500	18.313	18.375	18.688	
19.500	18.313	18.500	18.688	
19.500	18.250	18.375	18.688	
19.563	18.250	18.438	18.750	
19.500	18.250	18.375	18.750	
19.500	18.375	18.375	18.688	
19.500	18.250	18.375	18.688	
19.500	18.250	18.375	18.688	
19.500	18.250	18.563	18.688	
19.500	18.250	18.563	18.750	
19.500	18.250	18.375	18.688	
19.500	18.250	18.375	18.688	
19.500	18.250	18.375	18.688	
19.500	18.250	18.375	18.688	
19.500	18.250	18.375	18.688	
19.500	18.188	18.500	18.688	
19.500	18.250	18.375	18.750	
19.500	18.250	18.375	18.688	
19.500	18.188	18.375	18.688	
19.500	18.250	18.375	18.750	
19.500	18.188	18.375	18.688	
19.500	18.250	18.438	18.688	
19.500	18.250	18.375	18.750	
19.563	18.313	18.500	18.750	
19.500	18.375	18.375	18.688	
19.563	18.375	18.375	18.688	
19.500	18.313	18.375	18.750	
19.625	18.313	18.375	18.750	
19.500	18.250	18.438	18.688	
19.688	18.250	18.438	18.688	
19.500	18.250	18.375	18.688	
19.500	18.375	18.375	18.688	
19.500	18.250	18.375	18.688	
19.500	18.250	18.375	18.688	
19.563	18.250	18.375	18.688	
19.563	18.250	18.500	18.688	
19.625	18.250	18.375	18.688	
19.625	18.250	18.438	18.750	
19.625	18.250	18.375	18.688	
19.625	18.250	18.375	18.688	
19.625	18.250	18.375	18.813	
19.625	18.250	18.375	18.813	
19.500	18.250	18.563	18.688	
19.625	18.250	18.563	18.750	
19.500	18.250	18.375	18.750	
19.563	18.250	18.375	18.750	
19.500	18.250	18.375	18.688	
19.563	18.250	18.375	18.688	
19.500	18.250	18.375	18.688	
19.500	18.375	18.500	18.688	
