GBP1	GBP3	GBP5	GBP7
19.938	19.875	19.875	19.875	
20.000	19.875	19.750	20.000	
20.000	19.875	19.750	20.000	
20.000	19.875	19.688	19.875	
20.000	19.875	19.750	19.875	
20.063	19.875	19.813	19.875	
20.063	19.875	19.813	19.875	
19.938	19.938	19.750	19.875	
20.063	19.875	19.750	19.875	
19.875	19.875	19.688	19.875	
20.000	19.875	19.750	19.875	
19.938	19.875	19.750	19.875	
19.938	20.000	19.875	19.875	
19.938	20.000	19.750	19.875	
19.875	20.000	19.938	20.000	
19.875	20.000	19.688	19.938	
19.938	20.000	19.750	19.938	
19.875	19.875	19.750	19.875	
19.938	19.875	19.750	19.938	
19.938	19.875	19.813	19.875	
19.938	20.000	19.813	19.875	
19.938	19.875	19.750	19.875	
19.938	19.938	19.750	19.875	
19.938	19.875	19.750	19.875	
19.938	19.875	19.750	19.875	
19.938	19.875	19.750	19.875	
19.938	19.875	19.875	19.875	
19.938	19.875	19.750	19.875	
19.938	19.938	19.938	19.938	
19.938	19.938	19.750	19.875	
19.875	19.938	19.750	19.875	
19.938	19.875	19.750	19.938	
19.938	19.875	19.750	19.938	
19.875	19.875	19.875	19.875	
19.938	19.875	19.875	19.875	
19.938	19.875	19.625	19.875	
19.938	19.938	19.750	19.875	
19.938	19.875	19.750	19.875	
19.938	20.000	19.688	19.875	
19.938	20.000	19.750	19.875	
19.938	20.000	19.875	19.875	
19.938	19.875	19.750	19.875	
19.938	19.875	19.813	19.938	
19.938	19.938	19.750	19.875	
19.938	20.000	19.750	19.875	
19.938	19.938	19.750	19.938	
20.000	20.000	19.750	19.938	
19.938	19.875	19.938	19.875	
20.000	19.875	19.938	19.875	
19.938	19.875	19.750	19.875	
20.063	19.875	19.750	19.875	
19.938	19.875	19.750	19.875	
19.938	19.875	19.750	19.875	
19.938	19.875	19.750	19.875	
19.938	19.875	19.938	19.875	
19.938	19.875	19.750	19.875	
19.938	19.875	19.750	19.875	
20.000	19.875	19.750	19.875	
20.000	19.875	19.750	19.938	
20.063	19.875	19.750	19.938	
20.063	19.875	19.750	19.938	
20.063	19.938	19.938	19.938	
20.063	20.000	19.938	20.000	
19.938	20.000	19.750	19.875	
20.063	20.000	19.750	19.875	
19.938	20.000	19.750	19.875	
20.000	20.000	19.750	19.875	
19.938	19.875	19.750	19.875	
19.938	20.063	19.938	19.875	
19.938	19.875	19.750	19.875	
19.938	20.000	19.750	19.875	
19.938	19.875	19.750	19.875	
19.938	19.875	19.750	19.938	
19.938	19.875	19.750	19.938	
19.938	19.875	19.813	19.938	
19.938	19.875	19.938	19.938	
19.938	19.875	19.938	19.938	
19.938	19.875	19.750	19.875	
19.938	19.875	19.750	19.875	
19.938	19.938	19.750	19.938	
19.938	19.938	19.750	19.938	
19.938	19.875	19.813	19.875	
19.938	19.875	19.813	19.875	
19.938	19.938	19.750	19.875	
19.938	19.938	19.750	19.875	
19.938	19.875	19.750	19.875	
19.938	20.000	19.750	20.000	
19.938	20.000	19.750	19.875	
19.875	20.000	19.813	19.875	
19.938	20.000	19.750	20.000	
19.938	20.000	19.875	20.000	
19.938	19.875	19.750	19.875	
19.938	19.875	19.750	19.875	
19.938	19.875	19.750	19.875	
19.938	20.000	19.750	19.875	
19.938	19.875	19.813	19.875	
19.938	19.938	19.813	19.875	
19.938	19.938	19.750	19.875	
19.938	19.875	19.750	19.875	
19.938	19.938	19.750	19.875	
20.000	19.875	19.750	19.938	
19.938	19.875	19.750	19.875	
20.000	19.875	19.875	19.875	
19.938	19.875	19.750	19.938	
20.000	19.875	19.875	19.938	
19.938	19.875	19.750	19.875	
20.063	19.938	19.750	19.875	
19.938	19.938	19.750	19.875	
19.938	19.875	19.750	19.875	
19.938	19.875	19.875	19.875	
19.938	19.938	19.875	19.875	
19.938	19.875	19.750	19.875	
19.938	20.000	19.750	19.875	
20.000	20.000	19.750	19.875	
20.000	20.000	19.750	19.875	
20.063	19.938	19.750	19.875	
20.063	19.938	19.875	20.000	
20.000	19.875	19.750	20.000	
20.000	20.000	19.813	20.000	
19.938	19.875	19.750	19.875	
20.125	20.000	19.750	20.000	
19.938	19.938	19.750	19.875	
20.000	19.938	19.750	19.875	
19.938	19.875	19.938	19.875	
19.938	19.875	19.938	19.875	
19.938	19.938	19.750	19.875	
19.938	19.875	19.750	19.938	
19.938	19.875	19.750	19.875	
19.938	19.875	19.750	19.875	
19.938	19.875	19.750	19.875	
19.938	19.875	19.938	19.938	
19.938	19.938	19.750	19.875	
19.938	19.875	19.813	19.875	
19.938	19.875	19.750	19.938	
19.938	19.875	19.750	19.938	
19.938	19.938	19.750	19.875	
19.938	20.000	19.750	19.875	
19.938	20.063	19.938	19.875	
19.938	20.063	19.938	19.875	
19.938	19.938	19.750	19.875	
19.938	19.938	19.750	19.875	
19.938	19.875	19.750	19.938	
19.938	20.063	19.750	19.875	
19.938	19.938	19.750	19.875	
19.938	20.000	19.938	19.938	
19.938	19.875	19.750	19.875	
19.938	19.875	19.750	19.875	
19.938	19.938	19.750	20.000	
19.938	19.875	19.750	20.000	
19.938	19.875	19.750	19.875	
19.938	19.875	19.750	19.875	
19.938	19.875	19.938	19.875	
19.938	19.875	19.938	19.875	
19.938	19.938	19.750	19.938	
19.938	19.938	19.750	19.875	
19.938	19.875	19.750	19.875	
19.938	19.875	19.750	19.938	
19.938	19.875	19.750	19.875	
20.000	19.875	19.875	19.938	
19.938	19.875	19.750	19.875	
20.063	20.000	19.750	20.000	
19.938	20.063	19.750	20.000	
20.063	20.063	19.750	20.000	
19.938	19.938	19.750	19.875	
20.063	19.938	19.813	20.000	
19.938	19.938	20.000	19.875	
19.938	19.938	20.000	19.875	
19.938	19.875	19.750	19.875	
19.938	20.000	19.750	19.875	
20.000	19.938	19.750	19.875	
20.000	19.938	19.750	19.875	
20.063	19.938	19.813	19.938	
20.063	19.875	31.938	19.938	
20.000	19.938	19.750	19.875	
20.000	19.875	19.750	20.000	
20.063	19.875	19.750	19.938	
20.063	19.875	19.750	19.938	
19.938	19.875	19.750	19.938	
20.063	19.875	19.875	19.938	
19.938	19.875	19.750	19.875	
20.000	19.875	19.750	19.938	
19.938	19.938	19.750	19.875	
19.938	19.938	19.750	19.875	
19.938	19.875	19.750	19.875	
19.938	19.938	19.813	19.875	
19.938	20.063	19.938	19.875	
19.938	20.063	19.938	19.875	
19.938	20.000	19.750	19.875	
19.938	20.000	19.750	19.938	
19.938	19.938	19.750	19.938	
19.938	19.938	19.750	19.938	
19.938	19.875	19.813	19.938	
19.938	20.000	19.813	19.938	
19.938	19.875	19.750	19.875	
19.938	19.938	19.750	19.938	
19.938	19.875	19.750	19.875	
19.938	19.875	19.750	19.875	
19.938	19.938	19.750	19.875	
19.938	19.875	19.813	19.875	
19.938	19.938	19.938	19.875	
19.938	19.938	19.938	19.875	
19.938	19.938	19.750	19.875	
19.938	19.938	19.750	19.875	
19.938	19.875	19.750	19.875	
19.938	19.875	19.750	19.938	
19.938	19.875	19.875	19.938	
19.938	19.875	19.875	19.938	
19.938	19.875	19.750	19.875	
19.938	19.938	19.750	19.938	
19.938	19.875	19.750	19.875	
19.938	20.000	19.750	19.875	
19.938	20.000	19.750	19.875	
19.938	20.000	19.875	19.875	
19.938	19.938	19.750	19.875	
19.938	19.938	19.938	19.875	
19.938	19.875	19.750	19.875	
20.063	20.000	19.750	19.875	
19.938	19.938	19.750	19.938	
20.063	20.000	19.750	20.000	
19.938	19.875	19.938	19.938	
20.063	19.875	19.938	19.938	
19.938	19.938	19.750	19.875	
19.938	19.875	19.750	20.000	
19.938	19.938	19.750	19.875	
19.938	19.938	19.750	19.875	
20.000	19.875	19.750	19.875	
20.000	19.875	19.938	19.875	
20.063	19.875	19.750	19.875	
20.063	19.875	19.813	19.875	
20.063	19.938	19.750	19.875	
20.063	19.875	19.750	19.875	
20.063	19.875	19.750	19.875	
20.063	19.875	19.750	19.938	
19.938	19.938	19.875	19.875	
20.063	20.000	19.875	19.875	
19.938	20.000	19.750	20.000	
20.000	20.000	19.750	20.000	
19.938	20.000	19.750	19.938	
19.938	20.000	19.750	19.875	
19.938	19.938	19.750	19.875	
19.938	19.938	19.938	19.875	
19.938	19.875	19.750	19.875	
19.938	20.000	19.813	19.875	
19.938	19.875	19.750	19.875	
19.938	19.938	19.750	19.875	
19.938	19.875	19.813	19.875	
19.938	19.938	19.688	19.938	
19.938	19.875	19.938	19.875	
19.938	19.938	19.938	19.875	
19.938	19.938	19.750	19.938	
19.938	19.938	19.750	19.938	
19.938	19.938	19.750	19.875	
19.938	19.938	19.750	19.938	
19.938	19.938	19.750	19.875	
19.938	19.938	19.938	19.875	
19.938	19.938	19.750	19.875	
19.938	19.938	19.750	19.875	
20.000	19.938	19.750	19.938	
19.938	19.938	19.750	19.875	
19.938	19.875	19.750	19.875	
19.938	20.000	19.813	19.938	
19.938	20.000	19.938	19.875	
19.938	20.000	19.938	19.938	
19.938	19.938	19.750	19.938	
19.938	19.938	19.750	19.938	
19.938	19.938	19.750	19.875	
19.938	20.063	19.750	19.938	
19.938	19.875	19.875	19.875	
20.000	20.000	19.875	19.875	
19.938	19.875	19.750	19.875	
20.000	19.875	19.750	19.875	
19.938	19.938	19.750	19.938	
20.063	19.938	19.750	19.875	
20.000	19.938	19.750	19.875	
20.063	19.938	19.875	19.875	
19.938	19.938	19.750	19.875	
19.938	19.875	19.875	19.938	
19.938	19.938	19.813	19.938	
19.938	19.938	19.750	19.938	
19.938	19.938	19.750	19.875	
19.938	19.938	19.750	19.938	
20.063	19.938	19.938	19.938	
20.063	19.938	19.938	19.875	
20.063	19.938	19.750	19.938	
20.063	20.000	19.750	19.875	
20.125	20.063	19.750	19.875	
20.125	20.063	19.750	19.938	
19.938	20.000	19.750	19.875	
20.063	20.000	19.938	19.875	
19.938	19.875	19.750	19.875	
20.000	19.875	19.875	19.938	
19.938	19.938	19.750	19.875	
19.938	20.000	19.750	19.875	
19.938	19.938	19.750	19.938	
19.938	20.000	19.750	19.938	
19.938	19.938	19.875	19.875	
19.938	19.938	19.875	19.938	
19.938	19.875	19.688	19.938	
19.938	19.875	19.750	19.875	
19.938	19.938	19.750	19.875	
19.938	19.938	19.750	19.938	
19.938	19.938	19.750	19.875	
19.938	19.938	19.938	19.875	
19.938	19.938	19.750	19.875	
19.938	19.938	19.813	20.000	
19.938	19.938	19.750	19.875	
19.938	19.938	19.813	19.875	
19.938	19.875	19.750	19.938	
19.938	19.938	19.750	19.938	
19.938	20.000	19.938	19.938	
19.938	20.000	19.938	19.938	
19.938	20.000	19.750	19.875	
19.938	20.000	19.750	19.938	
19.938	19.875	19.750	19.875	
19.938	19.875	19.750	19.875	
19.938	19.938	19.813	19.938	
19.938	20.063	20.000	19.938	
19.938	19.938	19.750	19.938	
19.938	20.000	19.750	19.938	
19.938	19.875	19.750	19.875	
19.938	19.938	19.750	20.000	
19.938	19.875	19.750	19.938	
20.000	19.875	19.813	19.938	
19.938	19.875	19.938	19.875	
20.000	19.875	19.938	20.000	
19.938	19.938	19.750	19.875	
20.063	19.938	19.750	19.875	
19.938	19.875	19.750	19.938	
20.063	19.938	19.750	19.875	
19.938	19.938	19.813	19.875	
20.063	19.875	19.813	19.875	
19.938	19.938	19.750	19.875	
19.938	19.938	19.750	19.875	
19.938	19.938	19.750	19.875	
19.938	20.063	19.750	19.938	
20.000	20.000	19.750	19.938	
20.000	20.000	19.875	19.938	
20.063	20.000	19.750	19.938	
20.063	20.000	19.938	19.938	
20.063	19.938	19.750	19.875	
20.063	20.000	19.750	19.875	
20.125	19.938	19.750	19.875	
20.125	20.000	19.750	19.875	
19.938	19.938	19.875	19.875	
20.063	19.938	19.875	19.875	
19.938	19.938	19.750	19.875	
20.000	19.875	19.750	19.938	
19.938	19.938	19.750	19.875	
19.938	19.938	19.813	20.000	
19.938	19.938	19.750	19.938	
19.938	19.938	19.938	19.938	
19.938	19.938	19.813	19.938	
19.938	19.938	19.875	19.938	
19.938	19.938	19.750	19.875	
19.938	19.938	19.750	19.875	
19.938	19.938	19.750	19.938	
20.000	19.938	19.750	19.938	
19.938	19.938	19.938	19.875	
19.938	20.000	19.938	19.875	
19.938	20.063	19.750	19.875	
19.938	20.063	19.750	19.875	
19.938	20.000	19.750	19.875	
19.938	20.000	19.750	19.938	
19.938	19.938	19.688	19.938	
19.938	19.938	19.938	19.938	
19.938	19.938	19.750	20.000	
19.938	20.000	19.813	20.000	
19.938	19.938	19.813	19.875	
19.938	19.938	19.750	19.938	
19.938	19.938	19.750	19.875	
19.938	19.938	19.750	19.875	
19.938	19.938	19.938	19.875	
19.938	19.938	19.938	19.875	
19.938	19.938	19.750	19.875	
19.938	19.938	19.750	19.875	
20.000	19.938	19.813	19.938	
20.000	19.938	19.750	19.938	
19.938	19.938	19.750	19.875	
20.000	19.875	20.000	20.000	
19.938	19.938	19.750	19.938	
20.000	19.938	19.813	19.938	
19.938	19.938	19.750	19.875	
20.063	19.938	19.750	20.000	
19.938	19.938	19.750	19.875	
20.063	20.063	19.813	19.875	
19.938	20.063	19.938	19.875	
20.063	20.063	19.938	19.875	
19.938	19.938	19.813	19.875	
19.938	19.938	19.750	19.875	
20.000	19.938	19.688	19.938	
20.000	20.000	19.813	19.875	
20.000	19.938	19.813	19.938	
20.000	20.000	19.813	20.000	
20.063	19.875	19.750	19.938	
20.063	19.875	19.750	19.938	
20.063	19.938	19.750	20.000	
20.063	19.938	19.750	20.000	
20.063	19.938	19.750	19.875	
20.063	19.938	19.875	19.875	
19.938	19.875	19.813	19.875	
20.063	19.938	19.938	19.875	
19.938	19.938	19.750	19.938	
20.000	19.938	19.750	19.875	
19.938	19.938	19.813	19.875	
20.000	19.938	19.750	19.938	
19.938	19.938	19.813	19.875	
20.000	19.938	19.813	19.938	
19.938	19.938	19.813	19.875	
20.000	20.000	19.813	19.875	
19.938	20.063	19.750	20.063	
19.938	20.063	19.750	20.063	
19.938	19.938	19.750	19.875	
19.938	19.938	19.875	19.938	
19.938	19.938	19.750	19.875	
19.938	20.000	19.938	19.938	
20.000	19.938	19.813	19.938	
20.000	20.000	19.813	19.938	
19.938	19.938	19.750	19.875	
19.938	19.938	19.813	19.875	
19.938	19.938	19.938	19.938	
19.938	19.938	19.938	19.875	
19.938	19.938	19.750	19.875	
19.938	19.938	19.750	20.000	
20.000	19.938	19.750	19.938	
20.000	19.938	19.813	19.938	
19.938	19.938	19.750	19.875	
19.938	19.938	19.875	20.000	
19.938	19.938	19.750	19.938	
19.938	19.938	19.875	19.875	
19.938	19.938	19.750	19.938	
19.938	19.938	19.813	19.750	
19.938	19.938	19.750	19.875	
20.000	20.000	19.813	19.875	
19.938	20.000	19.938	19.938	
20.000	20.000	19.938	19.938	
19.938	20.000	19.750	19.938	
20.000	20.000	19.750	20.000	
19.938	19.875	19.750	19.938	
20.063	19.875	19.750	19.938	
19.938	19.938	19.813	20.000	
20.125	20.063	20.000	20.000	
19.938	19.938	19.750	19.938	
20.125	19.938	19.813	19.938	
19.938	19.938	19.750	19.875	
19.938	19.938	19.750	19.875	
19.938	19.938	19.750	19.938	
19.938	19.938	19.750	19.938	
20.000	19.938	20.000	19.875	
20.000	19.938	20.000	19.875	
20.063	19.938	19.750	19.875	
20.063	19.938	19.750	20.000	
20.063	19.938	19.750	19.875	
20.063	19.938	19.750	19.875	
20.063	19.938	19.750	20.000	
20.063	19.938	19.938	20.000	
19.938	20.000	19.813	19.875	
20.125	20.063	19.875	20.000	
19.938	19.938	19.750	19.875	
20.000	20.063	19.750	19.875	
20.000	20.063	19.750	19.875	
20.000	20.063	19.813	19.875	
19.938	19.938	19.938	19.875	
19.938	19.938	19.938	19.875	
19.938	19.938	19.750	19.938	
19.938	20.000	19.750	19.938	
19.938	19.938	19.813	19.875	
19.938	20.000	19.750	20.000	
19.938	19.938	19.813	20.000	
19.938	19.938	19.938	20.000	
19.938	19.938	19.750	19.875	
19.938	19.938	19.750	19.938	
19.938	19.938	19.750	19.875	
19.938	19.938	19.813	19.875	
20.000	19.938	19.750	19.938	
20.000	19.938	19.813	19.938	
19.938	19.938	19.938	19.875	
19.938	19.938	19.938	19.875	
19.938	19.938	19.750	19.875	
19.938	19.938	19.813	19.938	
19.938	19.938	19.750	19.938	
19.938	19.938	19.750	20.063	
19.938	19.938	19.813	19.938	
19.938	20.063	19.813	19.938	
19.938	20.063	19.750	19.938	
19.938	20.063	19.750	20.063	
19.938	20.000	19.813	19.875	
19.938	20.000	19.750	19.875	
19.938	19.938	19.750	19.938	
19.938	20.063	19.875	19.875	
19.938	19.938	19.750	19.875	
19.938	20.000	19.938	19.938	
19.938	19.938	19.813	19.938	
20.063	19.938	19.750	19.938	
19.938	19.938	19.750	19.938	
20.063	19.938	19.813	20.000	
19.938	19.938	19.875	19.938	
20.063	19.938	19.875	19.938	
19.938	19.938	19.813	20.000	
20.063	19.938	19.813	20.000	
19.938	19.938	19.750	19.875	
19.938	19.875	19.750	19.938	
20.000	19.938	19.813	19.938	
20.000	19.938	19.938	19.938	
20.000	19.938	19.750	19.875	
20.000	19.938	19.938	19.875	
20.000	19.938	19.750	19.938	
20.000	20.063	19.750	19.875	
20.125	20.000	19.813	19.938	
20.125	20.000	19.813	19.938	
20.125	20.000	19.938	19.875	
20.125	20.000	19.938	20.000	
19.938	19.938	19.813	20.000	
20.063	19.938	19.813	20.000	
20.000	19.938	19.750	19.938	
20.063	20.063	19.750	20.000	
19.938	19.938	19.813	19.875	
20.000	19.938	19.938	19.938	
20.000	19.938	19.813	19.938	
20.000	19.938	19.938	19.875	
19.938	19.938	19.813	19.938	
19.938	19.938	19.813	19.938	
19.938	19.938	19.688	19.938	
19.938	19.938	19.813	19.938	
19.938	19.938	20.000	19.875	
19.938	19.938	20.000	20.000	
20.000	19.938	19.813	19.938	
20.000	20.000	19.813	19.938	
19.938	19.938	19.813	19.938	
19.938	19.938	19.750	20.000	
19.938	19.938	19.750	19.938	
19.938	20.000	19.938	19.938	
20.000	20.063	19.750	19.938	
19.938	20.063	19.875	19.938	
20.000	20.000	19.813	19.875	
20.000	20.000	19.750	19.938	
19.938	19.938	19.750	19.938	
19.938	19.938	19.813	19.875	
19.938	19.938	19.938	19.938	
19.938	20.000	19.938	20.000	
19.938	19.938	19.750	19.938	
19.938	19.938	19.750	19.938	
20.000	19.938	19.813	20.063	
20.000	19.938	19.813	20.063	
20.000	19.938	19.813	19.938	
20.000	19.938	19.938	19.938	
19.938	19.938	19.813	19.938	
19.938	19.938	19.813	19.938	
19.938	19.938	19.813	19.938	
20.000	19.938	19.813	20.000	
20.000	19.938	19.813	19.938	
20.000	19.938	19.813	19.875	
19.938	19.938	19.938	19.938	
20.063	19.938	19.938	19.938	
20.000	19.938	19.750	19.938	
20.125	19.938	19.750	19.938	
19.938	19.938	19.813	20.000	
20.063	20.063	19.750	20.000	
19.938	20.063	19.813	19.875	
19.938	20.063	19.938	19.938	
20.000	19.938	19.750	20.000	
20.000	19.938	19.750	19.938	
20.000	19.938	19.813	19.938	
20.000	20.063	19.813	19.875	
20.063	19.938	19.750	19.875	
20.063	20.000	19.813	19.875	
20.125	19.938	19.938	19.938	
20.125	19.938	19.938	19.938	
