T1	T2	T3	T4	T5	T6	T7	T8	T9	T10	T11	T12	T13	T14	T15	T16
17.313	16.875	17.438	16.875	17.375	16.688	17.375	16.625	17.000	16.813	17.125	16.625	17.000	16.750	17.000	0.000	
17.313	16.875	17.438	16.875	17.375	16.688	17.438	16.625	17.000	16.813	17.125	16.625	17.000	16.750	17.000	0.000	
17.313	16.875	17.438	16.813	17.375	16.688	17.375	16.625	16.938	16.750	17.125	16.563	17.000	16.688	16.938	0.000	
17.313	16.875	17.438	16.813	17.375	16.688	17.375	16.625	16.938	16.813	17.125	16.563	16.938	16.688	17.000	0.000	
17.313	16.813	17.375	16.813	17.313	16.688	17.375	16.563	16.875	16.750	17.063	16.563	16.938	16.688	16.938	0.000	
17.313	16.813	17.375	16.813	17.313	16.688	17.375	16.625	16.875	16.750	17.063	16.563	17.000	16.688	16.938	0.000	
17.250	16.813	17.375	16.750	17.313	16.625	17.313	16.563	16.875	16.750	17.063	16.563	16.938	16.625	16.938	0.000	
17.250	16.813	17.375	16.750	17.313	16.625	17.313	16.563	16.875	16.750	17.063	16.500	16.938	16.688	16.938	0.000	
17.250	16.813	17.313	16.750	17.313	16.625	17.313	16.563	16.875	16.688	17.000	16.500	16.938	16.625	16.938	0.000	
17.250	16.813	17.375	16.750	17.313	16.625	17.313	16.563	16.875	16.688	17.063	16.500	16.938	16.625	16.938	0.000	
17.250	16.750	17.313	16.750	17.250	16.563	17.313	16.500	16.875	16.688	17.000	16.500	16.875	16.625	16.875	0.000	
17.250	16.750	17.313	16.750	17.250	16.625	17.313	16.500	16.813	16.688	17.000	16.500	16.875	16.625	16.875	0.000	
17.188	16.750	17.313	16.750	17.250	16.563	17.250	16.500	16.813	16.688	17.000	16.438	16.875	16.563	16.813	0.000	
17.188	16.750	17.313	16.750	17.250	16.563	17.250	16.500	16.813	16.688	17.000	16.500	16.875	16.563	16.875	0.000	
17.250	16.750	17.313	16.688	17.250	16.563	17.250	16.500	16.813	16.688	17.000	16.438	16.875	16.563	16.875	0.000	
