GBP1	GBP3	GBP5	GBP7
23.250	22.313	22.313	21.250	
23.250	22.250	22.250	21.313	
23.188	22.250	22.313	21.375	
23.250	22.250	22.313	21.375	
23.188	22.250	22.313	21.250	
23.188	22.250	22.500	21.313	
23.125	22.250	22.313	21.250	
23.125	22.250	22.438	21.250	
23.188	22.250	22.313	21.250	
23.188	22.250	22.313	21.313	
23.250	22.250	22.250	21.250	
23.250	22.250	22.313	21.250	
23.250	22.250	22.438	21.250	
23.250	22.250	22.438	21.250	
23.313	22.250	22.313	21.250	
23.313	22.313	22.313	21.375	
23.250	22.375	22.313	21.313	
23.250	22.375	22.313	21.313	
23.188	22.313	22.313	21.438	
23.250	22.313	22.500	21.438	
23.188	22.250	22.438	21.313	
23.250	22.313	22.313	21.313	
23.125	22.250	22.313	21.250	
23.188	22.313	22.313	21.250	
23.188	22.250	22.313	21.250	
23.188	22.313	22.313	21.250	
23.125	22.250	22.500	21.313	
23.125	22.250	22.500	21.313	
23.188	22.250	22.313	21.250	
23.188	22.250	22.313	21.313	
23.188	22.250	22.313	21.250	
23.125	22.250	22.313	21.250	
23.188	22.250	22.313	21.375	
23.188	22.250	22.500	21.375	
23.188	22.313	22.313	21.250	
23.188	22.250	22.375	21.313	
23.188	22.250	22.313	21.313	
23.188	22.250	22.313	21.250	
23.188	22.250	22.313	21.313	
23.188	22.375	22.313	21.313	
23.188	22.375	22.500	21.250	
23.188	22.375	22.500	21.250	
