T1	T2	T3	T4	T5	T6	T7	T8	T9	T10	T11	T12	T13	T14	T15	T16
24.938	24.813	25.125	24.750	24.875	24.625	24.938	24.625	24.750	24.750	24.750	24.688	24.813	24.813	24.375	24.563	
24.938	24.813	25.125	24.750	24.875	24.625	25.000	24.625	24.813	24.750	24.813	24.688	24.875	24.750	24.375	24.625	
24.938	24.813	25.125	24.750	24.875	24.625	25.000	24.625	24.750	24.750	24.813	24.688	24.875	24.750	24.375	24.625	
24.938	24.813	25.125	24.750	24.875	24.625	25.000	24.625	24.750	24.750	24.813	24.688	24.875	24.750	24.375	24.625	
24.938	24.813	25.125	24.750	24.875	24.625	25.000	24.625	24.813	24.750	24.813	24.688	24.875	24.750	24.375	24.625	
24.938	24.813	25.125	24.750	24.875	24.625	25.000	24.625	24.750	24.750	24.813	24.688	24.875	24.750	24.375	24.625	
24.938	24.813	25.125	24.750	24.875	24.625	25.000	24.688	24.750	24.750	24.813	24.688	24.875	24.813	24.375	24.625	
24.938	24.813	25.125	24.750	24.875	24.625	25.000	24.625	24.750	24.750	24.813	24.688	24.875	24.750	24.375	24.625	
24.938	24.813	25.125	24.750	24.875	24.625	25.000	24.625	24.813	24.750	24.813	24.688	24.875	24.750	24.375	24.563	
24.938	24.813	25.125	24.750	24.875	24.625	25.000	24.625	24.750	24.688	24.813	24.688	24.875	24.750	24.375	24.625	
24.938	24.813	25.125	24.813	24.875	24.625	25.000	24.625	24.750	24.750	24.813	24.688	24.875	24.750	24.375	24.625	
24.938	24.813	25.125	24.813	24.875	24.625	25.000	24.625	24.750	24.750	24.813	24.688	24.875	24.750	24.375	24.625	
24.938	24.813	25.125	24.750	24.875	24.625	24.938	24.625	24.750	24.688	24.813	24.688	24.875	24.750	24.375	24.625	
24.938	24.813	25.125	24.750	24.875	24.625	24.938	24.625	24.813	24.750	24.813	24.688	24.875	24.750	24.375	24.625	
25.000	24.813	25.188	24.750	24.875	24.625	25.000	24.625	24.813	24.750	24.813	24.688	24.875	24.750	24.375	24.625	
24.938	24.813	25.188	24.813	24.875	24.688	25.000	24.688	24.813	24.750	24.813	24.688	24.875	24.750	24.438	24.625	
24.938	24.813	25.125	24.813	24.875	24.688	25.000	24.688	24.813	24.750	24.875	24.688	24.938	24.813	24.375	24.625	
25.000	24.813	25.125	24.813	24.875	24.688	25.000	24.688	24.813	24.750	24.875	24.688	24.938	24.813	24.375	24.625	
25.000	24.813	25.125	24.813	24.875	24.625	25.063	24.688	24.813	24.750	24.813	24.688	24.938	24.813	24.438	24.625	
25.000	24.813	25.125	24.813	24.875	24.688	25.063	24.688	24.750	24.750	24.813	24.688	24.875	24.813	24.438	24.625	
25.000	24.813	25.125	24.813	24.875	24.688	25.063	24.688	24.750	24.750	24.813	24.688	24.938	24.813	24.438	24.688	
25.000	24.813	25.188	24.813	24.938	24.625	25.063	24.625	24.813	24.750	24.875	24.688	24.938	24.750	24.375	24.625	
24.938	24.813	25.125	24.813	24.875	24.625	25.000	24.625	24.813	24.750	24.813	24.688	24.875	24.750	24.375	24.625	
25.000	24.813	25.125	24.813	24.875	24.625	25.000	24.625	24.813	24.750	24.875	24.688	24.875	24.750	24.375	24.625	
25.000	24.813	25.188	24.813	24.938	24.688	25.000	24.688	24.813	24.750	24.875	24.688	24.875	24.750	24.375	24.625	
25.000	24.813	25.188	24.813	24.938	24.688	25.000	24.688	24.813	24.750	24.875	24.688	24.938	24.813	24.375	24.625	
24.938	24.813	25.125	24.750	24.938	24.625	25.000	24.625	24.750	24.688	24.813	24.688	24.875	24.750	24.375	24.625	
24.938	24.750	25.125	24.750	24.875	24.625	25.000	24.625	24.750	24.750	24.813	24.688	24.875	24.750	24.375	24.625	
25.000	24.813	25.188	24.813	24.875	24.688	25.000	24.688	24.813	24.750	24.875	24.688	24.938	24.813	24.375	24.625	
24.938	24.813	25.125	24.813	24.938	24.688	25.063	24.688	24.813	24.750	24.875	24.688	24.938	24.813	24.375	24.625	
24.938	24.813	25.125	24.813	24.875	24.625	25.000	24.688	24.813	24.750	24.813	24.688	24.938	24.750	24.375	24.625	
24.938	24.813	25.125	24.813	24.875	24.625	25.000	24.625	24.813	24.750	24.813	24.688	24.938	24.750	24.375	24.625	
24.938	24.813	25.125	24.813	24.875	24.625	25.000	24.625	24.813	24.688	24.813	24.688	24.938	24.750	24.438	24.625	
25.000	24.813	25.188	24.813	24.875	24.688	25.000	24.625	24.813	24.750	24.875	24.688	24.875	24.813	24.375	24.625	
25.000	24.813	25.125	24.813	24.875	24.625	25.000	24.688	24.813	24.750	24.875	24.688	24.875	24.813	24.375	24.625	
25.000	24.813	25.188	24.750	24.875	24.688	25.000	24.625	24.813	24.750	24.875	24.688	24.875	24.813	24.375	24.625	
25.000	24.813	25.188	24.813	24.938	24.688	25.000	24.625	24.813	24.750	24.875	24.688	24.938	24.813	24.375	24.625	
25.000	24.813	25.188	24.813	24.938	24.688	25.000	24.688	24.813	24.750	24.875	24.688	24.938	24.813	24.375	24.625	
25.000	24.813	25.125	24.750	24.875	24.625	25.000	24.688	24.813	24.750	24.875	24.688	24.875	24.813	24.375	24.625	
25.000	24.813	25.188	24.813	24.875	24.688	25.000	24.688	24.813	24.750	24.875	24.688	24.938	24.813	24.375	24.625	
25.000	24.875	25.188	24.813	24.938	24.688	25.000	24.625	24.813	24.750	24.875	24.688	24.938	24.813	24.375	24.625	
25.000	24.875	25.188	24.813	24.938	24.688	25.000	24.688	24.813	24.750	24.875	24.750	24.938	24.813	24.438	24.625	
