GBP1	GBP3	GBP5	GBP7
20.375	22.375	22.438	18.875	
20.375	22.375	22.438	18.875	
20.438	22.313	22.375	18.813	
20.438	22.375	22.375	19.000	
20.438	22.313	22.375	18.938	
20.438	22.313	22.500	18.938	
20.438	22.250	22.313	18.813	
20.438	22.250	22.313	18.938	
20.438	22.250	22.250	18.813	
20.438	22.250	22.250	18.813	
20.438	22.188	22.250	18.813	
20.438	22.188	22.188	18.813	
20.313	22.188	22.375	18.813	
20.438	22.250	22.375	18.813	
20.313	22.250	22.125	18.750	
20.375	22.250	22.125	18.813	
20.250	22.063	22.063	18.813	
20.313	22.063	22.063	18.875	
20.250	22.063	22.063	18.813	
20.313	22.125	22.188	18.813	
20.250	21.938	22.000	18.875	
20.250	22.000	22.125	18.875	
20.250	21.875	21.938	18.813	
20.250	21.875	21.938	18.875	
20.250	21.875	21.938	18.813	
20.250	21.875	21.938	18.813	
20.188	21.875	22.000	18.813	
20.188	21.813	22.000	18.813	
20.250	21.813	21.875	18.750	
20.188	21.813	21.813	18.813	
20.188	21.750	21.813	18.750	
20.188	21.750	21.813	18.813	
20.188	21.688	21.813	18.813	
20.188	21.688	21.938	18.875	
20.188	21.750	21.750	18.813	
20.188	21.813	21.875	18.813	
20.188	21.813	21.750	18.813	
20.188	21.813	21.688	18.875	
20.125	21.625	21.688	18.750	
20.125	21.625	21.688	18.750	
20.125	21.563	21.750	18.750	
20.125	21.688	21.750	18.750	
20.125	21.500	21.625	18.813	
20.188	21.625	21.625	18.750	
20.188	21.500	21.563	18.813	
20.125	21.500	21.563	18.813	
20.125	21.438	21.563	18.813	
20.125	21.438	21.688	18.875	
20.125	21.438	21.625	18.813	
20.125	21.438	21.625	18.813	
20.063	21.438	21.500	18.875	
20.125	21.438	21.500	18.875	
20.125	21.375	21.438	18.813	
20.125	21.375	21.438	18.750	
20.063	21.375	21.500	18.750	
20.125	21.375	21.500	18.750	
20.063	21.375	21.375	18.750	
20.188	21.375	21.438	18.813	
20.063	21.313	21.375	18.813	
20.188	21.438	21.375	18.813	
20.125	21.375	21.375	18.813	
20.188	21.375	21.438	18.875	
20.125	21.313	21.500	18.813	
20.125	21.313	21.500	18.813	
20.063	21.250	21.313	18.938	
20.063	21.375	21.313	18.938	
20.125	21.188	21.250	18.813	
20.125	21.250	21.313	18.813	
20.125	21.188	21.250	18.750	
20.125	21.188	21.438	18.813	
20.125	21.188	21.250	18.750	
20.125	21.125	21.250	18.813	
20.125	21.188	21.188	18.813	
20.125	21.125	21.188	18.750	
20.125	21.063	21.188	18.750	
20.125	21.063	21.188	18.813	
20.063	21.063	21.313	18.813	
20.125	21.063	21.313	18.875	
20.000	21.063	21.125	18.875	
20.125	21.063	21.125	18.875	
20.063	21.063	21.063	18.813	
20.125	21.125	21.063	18.938	
20.000	21.125	21.063	18.813	
20.000	21.125	21.250	18.750	
20.063	21.063	21.063	18.750	
20.000	21.063	21.063	18.750	
20.000	20.938	21.063	18.813	
20.000	20.938	21.063	18.750	
20.000	20.938	21.000	18.750	
20.000	21.063	21.000	18.750	
20.000	20.938	21.188	18.750	
20.000	20.938	21.188	18.875	
20.000	20.875	21.000	18.750	
20.000	20.875	21.000	18.750	
20.000	20.875	20.938	18.813	
20.000	20.938	20.938	18.813	
20.000	20.875	20.938	18.750	
20.000	20.875	21.125	18.750	
20.000	20.875	20.875	18.750	
20.000	20.875	21.000	18.750	
20.000	20.813	20.938	18.750	
20.000	20.813	20.875	18.750	
19.938	20.813	20.875	18.750	
19.938	20.813	20.875	18.750	
19.938	20.813	21.063	18.750	
19.938	20.875	21.063	18.750	
19.938	20.875	20.813	18.750	
19.938	20.875	20.813	18.875	
19.938	20.813	20.875	18.875	
19.938	20.813	20.813	18.875	
19.938	20.750	20.813	18.688	
19.875	20.875	20.938	18.813	
19.938	20.688	20.813	18.688	
19.938	20.813	20.875	18.688	
19.938	20.688	20.750	18.750	
19.938	20.688	20.750	18.750	
19.938	20.625	20.750	18.750	
20.000	20.688	20.750	18.750	
19.875	20.625	20.875	18.688	
20.000	20.625	20.875	18.688	
19.938	20.625	20.688	18.750	
20.063	20.625	20.688	18.813	
19.875	20.625	20.688	18.688	
20.000	20.563	20.688	18.688	
19.875	20.563	20.688	18.688	
19.875	20.563	20.875	18.750	
19.875	20.625	20.625	18.688	
19.875	20.625	20.750	18.688	
19.875	20.563	20.625	18.688	
19.875	20.688	20.625	18.688	
19.938	20.688	20.625	18.688	
19.938	20.688	20.625	18.688	
19.938	20.563	20.750	18.688	
19.938	20.563	20.750	18.625	
20.000	20.500	20.563	18.688	
20.000	20.625	20.563	18.750	
19.813	20.500	20.563	18.625	
19.938	20.563	20.563	18.625	
19.813	20.438	20.563	18.688	
19.875	20.438	20.688	18.688	
19.813	20.438	20.563	18.688	
19.875	20.438	20.625	18.688	
19.813	20.438	20.500	18.625	
19.813	20.438	20.500	18.625	
19.750	20.438	20.500	18.688	
19.813	20.438	20.500	18.688	
19.750	20.375	20.625	18.625	
19.750	20.375	20.625	18.625	
19.813	20.375	20.500	18.625	
19.813	20.438	20.500	18.688	
19.813	20.375	20.438	18.625	
19.750	20.438	20.438	18.625	
19.813	20.500	20.438	18.750	
