T1	T2	T3	T4	T5	T6	T7	T8	T9	T10	T11	T12	T13	T14	T15	T16
24.063	24.000	24.188	24.313	24.125	24.313	24.313	24.125	24.000	24.375	24.063	24.438	24.063	24.500	24.000	24.250	
24.063	24.000	24.188	24.313	24.125	24.313	24.375	24.063	24.000	24.375	24.063	24.438	24.063	24.500	24.000	24.250	
24.063	24.000	24.250	24.313	24.125	24.313	24.313	24.125	24.063	24.375	24.063	24.375	24.063	24.500	24.000	24.250	
24.063	24.000	24.250	24.313	24.125	24.313	24.313	24.125	24.063	24.313	24.063	24.375	24.063	24.500	24.000	24.250	
24.063	24.000	24.188	24.313	24.125	24.313	24.313	24.063	24.063	24.375	24.063	24.438	24.063	24.500	24.000	24.250	
24.000	24.000	24.188	24.313	24.125	24.313	24.313	24.125	24.063	24.375	24.063	24.438	24.063	24.500	24.000	24.250	
24.063	24.000	24.188	24.313	24.125	24.313	24.313	24.063	24.063	24.375	24.063	24.438	24.063	24.500	24.000	24.250	
24.063	24.000	24.188	24.313	24.125	24.313	24.313	24.063	24.063	24.375	24.063	24.438	24.063	24.500	24.000	24.313	
24.063	24.000	24.250	24.313	24.125	24.313	24.313	24.125	24.063	24.375	24.125	24.438	24.063	24.500	24.000	24.250	
24.063	24.000	24.188	24.313	24.125	24.313	24.313	24.125	24.063	24.375	24.063	24.438	24.063	24.500	24.000	24.250	
24.063	24.000	24.250	24.313	24.125	24.375	24.313	24.125	24.063	24.375	24.063	24.438	24.063	24.500	24.000	24.250	
24.063	24.000	24.250	24.313	24.125	24.375	24.313	24.125	24.063	24.375	24.063	24.500	24.063	24.500	24.000	24.250	
24.063	24.000	24.250	24.313	24.125	24.313	24.313	24.063	24.063	24.375	24.063	24.438	24.063	24.500	24.000	24.250	
24.063	24.000	24.188	24.313	24.125	24.313	24.313	24.125	24.063	24.375	24.063	24.438	24.063	24.500	24.000	24.250	
24.000	24.000	24.250	24.313	24.125	24.313	24.313	24.125	24.000	24.375	24.063	24.438	24.063	24.500	24.000	24.250	
24.000	24.000	24.188	24.313	24.125	24.313	24.313	24.125	24.063	24.375	24.063	24.438	24.063	24.500	24.000	24.250	
24.063	24.000	24.250	24.313	24.125	24.313	24.313	24.125	24.063	24.375	24.063	24.438	24.063	24.500	24.000	24.250	
24.063	24.000	24.250	24.313	24.125	24.313	24.313	24.125	24.063	24.375	24.063	24.438	24.063	24.500	24.000	24.313	
24.063	24.000	24.250	24.313	24.125	24.313	24.313	24.063	24.063	24.375	24.063	24.375	24.063	24.500	24.000	24.250	
24.063	24.000	24.188	24.313	24.125	24.313	24.313	24.063	24.063	24.375	24.063	24.438	24.063	24.500	24.000	24.250	
24.000	24.000	24.250	24.313	24.125	24.375	24.313	24.063	24.063	24.375	24.125	24.438	24.063	24.500	24.000	24.313	
24.063	24.000	24.250	24.313	24.125	24.375	24.313	24.063	24.063	24.375	24.063	24.438	24.063	24.500	24.000	24.313	
