GBP1	GBP3	GBP5	GBP7
14.938	13.875	14.000	14.125	
14.938	13.938	14.000	14.188	
14.938	14.000	13.875	14.125	
15.000	14.000	13.875	14.125	
14.938	13.938	13.875	14.063	
15.063	13.938	13.875	14.125	
14.938	13.938	13.938	14.125	
14.938	13.938	13.938	14.125	
14.938	13.875	13.875	14.125	
14.938	14.000	13.875	14.188	
15.000	13.875	13.875	14.125	
15.000	13.938	13.875	14.125	
15.125	13.875	13.875	14.313	
15.125	13.875	14.000	14.313	
15.125	13.875	13.875	14.188	
15.125	13.875	14.000	14.188	
14.938	13.875	13.875	14.188	
15.063	13.875	13.875	14.188	
15.000	13.875	13.875	14.188	
15.000	13.875	13.938	14.250	
15.000	13.875	14.000	14.188	
15.000	13.875	14.000	14.188	
15.000	13.938	13.938	14.250	
15.000	13.938	13.938	14.313	
15.000	13.938	13.938	14.313	
15.063	13.938	13.875	14.313	
15.063	13.938	14.000	14.313	
15.000	13.875	14.000	14.375	
15.063	13.938	13.938	14.313	
15.063	13.938	13.938	14.313	
15.063	13.938	13.938	14.313	
15.063	14.000	13.938	14.313	
15.125	14.000	13.938	14.313	
15.125	14.000	14.063	14.313	
15.125	14.000	13.938	14.375	
15.125	14.000	13.938	14.375	
15.125	13.938	13.938	14.375	
15.125	13.938	13.938	14.500	
15.125	14.000	14.000	14.500	
15.125	14.063	14.063	14.500	
15.188	13.938	13.938	14.438	
15.125	14.000	14.063	14.500	
15.188	14.000	13.938	14.438	
15.188	14.000	13.938	14.438	
15.250	14.000	14.000	14.500	
15.250	14.000	14.000	14.500	
15.188	14.000	14.125	14.563	
15.313	14.000	14.125	14.500	
15.250	14.000	14.000	14.563	
15.250	14.000	14.000	14.625	
15.250	14.000	14.000	14.625	
15.250	14.000	14.000	14.625	
15.375	14.000	14.125	14.688	
15.375	14.000	14.125	14.688	
15.438	14.063	14.063	14.625	
15.438	14.063	14.063	14.688	
15.438	14.063	14.000	14.688	
15.438	14.063	14.000	14.688	
15.313	14.063	14.000	14.688	
15.438	14.125	14.188	14.688	
15.375	14.063	14.063	14.688	
15.438	14.188	14.063	14.750	
15.375	14.188	14.063	14.750	
15.375	14.188	14.063	14.875	
15.375	14.125	14.063	14.813	
15.438	14.125	14.125	14.813	
15.438	14.063	14.063	14.938	
15.438	14.063	14.188	14.938	
15.438	14.063	14.063	14.813	
15.438	14.188	14.125	14.813	
15.500	14.125	14.125	14.875	
15.500	14.188	14.125	14.875	
15.500	14.125	14.250	14.875	
15.500	14.125	14.250	14.875	
15.500	14.125	14.125	14.938	
15.500	14.125	14.125	14.875	
15.563	14.188	14.125	14.938	
15.563	14.188	14.125	15.063	
