GBP1	GBP3	GBP5	GBP7
18.438	17.875	17.875	17.688	
18.500	17.938	17.938	17.688	
18.438	18.063	17.875	17.625	
18.563	18.063	17.938	17.625	
18.438	17.938	17.938	17.625	
18.500	17.938	18.063	17.625	
18.438	17.938	17.875	17.625	
18.438	17.938	18.000	17.625	
18.500	17.938	17.938	17.688	
18.500	18.000	17.938	17.750	
18.500	17.875	17.938	17.750	
18.500	17.938	17.938	17.750	
18.563	17.938	18.063	17.688	
18.563	17.875	18.063	17.750	
18.563	17.875	17.938	17.625	
18.563	17.875	17.938	17.625	
18.438	17.875	17.938	17.625	
18.563	17.938	17.938	17.625	
18.438	17.875	17.938	17.625	
18.500	17.875	18.063	17.625	
18.438	17.875	17.938	17.625	
18.500	17.875	17.938	17.625	
18.438	17.938	17.938	17.625	
18.438	17.875	17.938	17.750	
18.438	17.938	17.938	17.688	
18.438	17.875	17.938	17.688	
18.438	17.938	18.063	17.688	
18.438	18.000	18.063	17.813	
18.438	18.000	17.938	17.625	
18.500	18.000	17.938	17.625	
18.438	17.938	17.938	17.688	
18.438	17.938	17.938	17.625	
18.438	17.875	18.000	17.625	
18.438	17.875	18.000	17.625	
18.438	17.875	17.938	17.625	
18.438	18.000	17.938	17.625	
18.438	17.875	17.938	17.625	
18.438	17.938	17.938	17.750	
18.438	17.875	17.938	17.688	
18.438	17.875	18.000	17.688	
18.438	17.938	17.875	17.563	
18.438	17.875	18.000	17.688	
18.438	17.875	17.938	17.625	
18.438	17.875	17.938	17.563	
18.438	17.875	17.938	17.625	
18.438	17.875	17.938	17.625	
18.438	17.875	18.063	17.625	
18.438	17.875	18.063	17.563	
18.438	17.875	17.938	17.625	
18.500	17.875	17.938	17.625	
18.438	17.875	17.875	17.625	
18.500	17.875	17.875	17.750	
18.438	17.875	18.000	17.688	
18.563	17.938	18.000	17.688	
18.438	18.000	17.938	17.625	
18.500	18.000	17.938	17.688	
18.438	18.000	17.875	17.563	
18.438	18.000	17.875	17.563	
18.500	17.875	17.938	17.563	
18.500	17.875	18.000	17.563	
18.500	17.875	17.875	17.563	
18.500	18.000	18.063	17.563	
18.500	17.875	17.875	17.563	
18.500	17.938	17.875	17.563	
18.563	17.875	17.938	17.563	
18.563	17.875	17.938	17.688	
18.438	17.875	18.063	17.688	
18.500	17.875	18.063	17.688	
18.438	17.875	17.875	17.563	
18.500	17.875	17.875	17.688	
18.438	17.875	17.875	17.563	
18.438	17.875	17.875	17.563	
18.438	17.875	17.938	17.625	
18.438	17.875	18.000	17.563	
18.438	17.875	17.938	17.563	
18.438	17.875	17.938	17.563	
18.438	17.875	17.875	17.563	
18.438	17.875	17.875	17.563	
18.438	17.813	17.875	17.625	
18.438	17.875	17.875	17.688	
18.438	18.000	18.063	17.625	
18.438	18.000	18.063	17.625	
18.438	17.938	17.875	17.563	
18.438	17.938	17.875	17.625	
18.375	17.875	17.875	17.563	
18.375	17.875	17.875	17.563	
18.375	17.813	17.938	17.563	
18.375	17.938	17.938	17.563	
18.438	17.813	17.875	17.563	
18.438	17.875	17.875	17.563	
18.438	17.875	17.938	17.563	
18.438	17.875	17.875	17.563	
18.438	17.875	17.938	17.563	
18.438	17.875	18.000	17.688	
18.375	17.813	17.875	17.625	
18.375	17.813	17.938	17.625	
18.375	17.813	17.938	17.563	
18.438	17.813	17.875	17.625	
18.438	17.813	17.875	17.563	
18.438	17.813	17.875	17.500	
18.375	17.813	17.938	17.563	
18.438	17.813	17.938	17.563	
18.375	17.813	17.875	17.563	
18.563	17.813	17.875	17.563	
18.375	17.813	17.875	17.563	
18.500	17.875	17.875	17.563	
18.438	17.938	17.875	17.500	
18.438	17.938	18.125	17.688	
18.438	17.938	17.875	17.563	
18.438	17.938	17.875	17.563	
18.438	17.875	17.875	17.500	
18.438	17.875	17.875	17.625	
18.500	17.813	17.875	17.500	
18.500	17.938	17.938	17.563	
18.438	17.813	18.000	17.500	
18.438	17.875	18.000	17.500	
18.375	17.813	17.875	17.500	
18.438	17.813	17.875	17.563	
18.375	17.813	17.875	17.438	
18.438	17.813	17.875	17.563	
18.375	17.813	17.938	17.500	
18.438	17.813	17.938	17.625	
18.375	17.813	17.813	17.563	
18.375	17.813	17.875	17.563	
18.375	17.813	17.875	17.500	
18.375	17.813	17.875	17.625	
18.375	17.813	17.875	17.563	
18.438	17.813	17.938	17.563	
18.375	17.813	17.875	17.563	
18.375	17.813	17.875	17.500	
18.375	17.813	17.875	17.563	
18.375	17.813	17.875	17.500	
18.375	17.813	17.875	17.563	
18.375	17.938	17.875	17.563	
18.375	17.938	18.000	17.500	
18.375	17.938	18.000	17.625	
18.375	17.875	17.813	17.625	
18.375	17.875	17.875	17.625	
18.375	17.813	17.875	17.500	
18.375	17.938	17.875	17.625	
18.375	17.813	17.875	17.500	
18.375	17.938	17.875	17.563	
18.375	17.813	17.875	17.563	
18.375	17.813	17.875	17.500	
18.375	17.813	17.875	17.500	
18.375	17.813	17.875	17.563	
18.375	17.813	17.813	17.563	
18.375	17.813	17.938	17.563	
18.375	17.813	17.813	17.500	
18.375	17.813	18.000	17.625	
18.375	17.813	17.875	17.625	
18.438	17.813	17.875	17.625	
18.375	17.813	17.813	17.500	
18.500	17.813	17.813	17.625	
18.375	17.813	17.938	17.563	
18.438	17.813	17.938	17.563	
18.375	17.813	17.875	17.563	
18.375	17.813	17.875	17.500	
18.375	17.813	17.875	17.563	
18.375	17.875	17.938	17.625	
18.438	17.938	17.875	17.563	
18.438	17.938	17.938	17.563	
18.500	17.875	17.875	17.563	
18.500	17.875	17.875	17.688	
18.438	17.813	17.813	17.625	
18.438	17.813	17.875	17.625	
18.375	17.813	17.875	17.500	
18.438	17.938	17.938	17.625	
18.375	17.813	17.938	17.500	
18.438	17.875	17.938	17.563	
18.375	17.813	17.875	17.625	
18.375	17.813	17.875	17.563	
18.375	17.813	17.813	17.563	
18.375	17.813	17.875	17.563	
18.375	17.813	17.938	17.563	
18.375	17.813	17.938	17.563	
18.375	17.813	17.875	17.500	
18.375	17.813	17.875	17.625	
18.375	17.813	17.875	17.625	
18.375	17.813	17.875	17.625	
18.375	17.813	17.875	17.563	
18.375	17.813	17.938	17.625	
18.375	17.875	17.938	17.563	
18.375	17.813	17.938	17.563	
18.438	17.813	17.875	17.563	
18.375	17.875	17.875	17.563	
18.375	17.938	17.813	17.563	
18.375	17.938	17.875	17.563	
18.375	17.938	18.000	17.563	
18.375	17.938	18.000	17.563	
18.375	17.875	17.813	17.563	
18.375	17.875	17.875	17.688	
18.375	17.813	17.875	17.688	
18.375	17.938	17.875	17.688	
18.375	17.813	17.875	17.563	
18.375	17.875	17.875	17.625	
18.375	17.875	17.875	17.563	
18.438	17.813	17.875	17.500	
18.375	17.813	17.875	17.563	
18.438	17.813	17.875	17.563	
18.375	17.875	17.875	17.563	
18.438	17.813	18.000	17.563	
18.375	17.813	17.875	17.563	
18.500	17.813	17.938	17.563	
18.438	17.813	17.875	17.563	
18.438	17.875	17.875	17.563	
18.438	17.813	17.875	17.625	
18.438	17.813	17.875	17.625	
18.438	17.813	17.938	17.563	
18.438	17.813	17.938	17.563	
18.438	17.813	17.875	17.563	
18.438	17.813	17.875	17.563	
18.500	17.813	17.875	17.563	
18.500	17.938	17.875	17.563	
18.375	17.938	17.875	17.563	
18.500	17.938	18.000	17.563	
18.375	17.875	17.875	17.563	
18.438	17.875	17.875	17.563	
18.375	17.875	17.875	17.563	
18.438	17.875	17.875	17.563	
18.375	17.813	17.875	17.688	
18.375	17.938	17.938	17.688	
18.375	17.813	17.875	17.563	
18.375	17.813	18.000	17.625	
18.438	17.813	17.875	17.563	
18.438	17.813	17.875	17.563	
18.375	17.813	17.875	17.563	
18.375	17.875	17.875	17.563	
18.375	17.813	18.000	17.563	
18.375	17.875	18.000	17.563	
18.438	17.813	17.875	17.563	
18.438	17.875	17.875	17.625	
18.375	17.813	17.875	17.563	
18.375	17.813	17.875	17.563	
18.438	17.875	17.875	17.625	
18.375	17.813	18.000	17.625	
18.375	17.875	17.938	17.563	
18.375	17.875	17.938	17.625	
18.438	17.813	17.875	17.563	
18.375	17.875	17.875	17.563	
18.375	17.938	17.875	17.563	
18.375	17.938	17.875	17.563	
18.438	17.938	17.938	17.563	
18.375	17.938	17.938	17.563	
18.438	17.813	17.875	17.563	
18.438	17.813	17.875	17.625	
18.375	17.813	17.875	17.563	
18.438	17.938	17.875	17.563	
18.438	17.813	17.938	17.688	
18.500	17.938	17.938	17.688	
18.375	17.813	17.875	17.563	
18.500	17.813	17.875	17.625	
18.375	17.813	17.875	17.563	
18.500	17.813	17.875	17.563	
18.375	17.875	17.875	17.563	
18.375	17.875	18.063	17.563	
18.375	17.813	17.875	17.563	
18.375	17.813	17.938	17.563	
18.438	17.813	17.875	17.563	
18.438	17.813	17.875	17.625	
18.500	17.813	17.875	17.563	
18.500	17.813	17.875	17.563	
18.500	17.875	18.000	17.750	
18.500	17.813	18.000	17.750	
18.438	17.875	17.875	17.625	
18.500	17.938	17.875	17.625	
18.375	17.938	17.875	17.563	
18.438	17.938	17.875	17.563	
18.375	17.938	17.875	17.563	
18.375	17.938	18.000	17.563	
18.375	17.875	17.875	17.563	
18.438	17.875	17.875	17.563	
18.375	17.813	17.875	17.563	
18.375	17.938	17.875	17.625	
18.375	17.813	17.875	17.563	
18.375	17.938	17.875	17.563	
18.375	17.813	17.875	17.688	
18.375	17.813	18.063	17.688	
18.438	17.813	17.875	17.563	
18.438	17.813	17.875	17.563	
18.375	17.813	17.875	17.563	
18.375	17.813	17.875	17.563	
18.438	17.875	18.000	17.625	
18.438	17.875	18.000	17.625	
18.375	17.813	17.875	17.563	
18.375	17.813	17.875	17.563	
18.375	17.813	17.875	17.563	
18.438	17.813	17.875	17.625	
18.375	17.813	17.875	17.625	
18.375	17.813	18.000	17.625	
