T1	T2	T3	T4	T5	T6	T7	T8	T9	T10	T11	T12	T13	T14	T15	T16
26.438	26.313	26.500	26.500	26.438	26.563	26.563	26.438	26.500	26.438	26.500	26.438	26.438	26.500	26.438	26.438	
26.438	26.313	26.500	26.500	26.438	26.563	26.563	26.438	26.500	26.438	26.500	26.438	26.438	26.500	26.438	26.438	
26.375	26.250	26.438	26.500	26.438	26.563	26.563	26.438	26.500	26.375	26.500	26.438	26.438	26.500	26.438	26.438	
26.375	26.250	26.438	26.500	26.438	26.563	26.563	26.438	26.500	26.375	26.500	26.438	26.438	26.500	26.438	26.438	
26.375	26.250	26.500	26.438	26.375	26.563	26.500	26.375	26.500	26.375	26.500	26.438	26.375	26.500	26.375	26.438	
26.375	26.250	26.500	26.438	26.375	26.563	26.563	26.375	26.500	26.375	26.500	26.438	26.375	26.500	26.375	26.438	
26.313	26.250	26.438	26.438	26.375	26.500	26.500	26.375	26.438	26.375	26.438	26.375	26.375	26.438	26.375	26.375	
26.313	26.250	26.438	26.438	26.375	26.500	26.500	26.375	26.438	26.375	26.438	26.375	26.375	26.438	26.375	26.438	
26.313	26.188	26.375	26.438	26.375	26.500	26.500	26.375	26.438	26.375	26.438	26.375	26.375	26.438	26.375	26.375	
26.313	26.188	26.375	26.375	26.375	26.500	26.500	26.375	26.438	26.375	26.438	26.375	26.375	26.438	26.375	26.375	
26.313	26.188	26.375	26.375	26.313	26.500	26.438	26.313	26.438	26.313	26.375	26.375	26.375	26.438	26.313	26.375	
26.313	26.188	26.375	26.375	26.313	26.500	26.438	26.313	26.375	26.313	26.438	26.375	26.313	26.438	26.313	26.375	
26.250	26.188	26.375	26.375	26.313	26.438	26.438	26.313	26.375	26.313	26.375	26.313	26.313	26.375	26.313	26.313	
26.250	26.188	26.375	26.375	26.313	26.438	26.438	26.313	26.375	26.313	26.375	26.313	26.313	26.375	26.313	26.313	
26.250	26.125	26.313	26.375	26.250	26.438	26.375	26.250	26.375	26.250	26.375	26.313	26.313	26.375	26.313	26.313	
26.250	26.125	26.313	26.313	26.250	26.438	26.375	26.250	26.375	26.313	26.375	26.313	26.250	26.375	26.313	26.313	
26.188	26.125	26.313	26.313	26.250	26.438	26.375	26.250	26.313	26.250	26.313	26.313	26.250	26.375	26.250	26.313	
26.188	26.125	26.313	26.313	26.250	26.375	26.375	26.250	26.313	26.313	26.313	26.313	26.250	26.375	26.250	26.313	
26.188	26.125	26.250	26.313	26.250	26.375	26.375	26.250	26.313	26.250	26.313	26.250	26.250	26.313	26.250	26.250	
26.188	26.125	26.250	26.313	26.188	26.375	26.375	26.250	26.313	26.250	26.313	26.250	26.250	26.313	26.250	26.250	
26.188	26.063	26.250	26.313	26.188	26.375	26.313	26.188	26.250	26.250	26.313	26.250	26.188	26.313	26.188	26.250	
26.188	26.063	26.250	26.250	26.188	26.375	26.313	26.188	26.313	26.250	26.250	26.250	26.188	26.313	26.188	26.250	
26.125	26.063	26.250	26.250	26.188	26.313	26.313	26.188	26.250	26.188	26.250	26.250	26.188	26.250	26.188	26.188	
26.125	26.063	26.250	26.250	26.188	26.313	26.313	26.188	26.250	26.188	26.250	26.250	26.188	26.250	26.188	26.188	
26.125	26.000	26.188	26.250	26.125	26.313	26.250	26.125	26.188	26.188	26.188	26.188	26.188	26.250	26.125	26.188	
26.125	26.000	26.188	26.188	26.125	26.313	26.250	26.188	26.250	26.188	26.188	26.188	26.188	26.250	26.125	26.188	
26.063	26.000	26.188	26.188	26.125	26.250	26.250	26.125	26.188	26.125	26.188	26.188	26.125	26.250	26.125	26.188	
26.063	26.000	26.188	26.188	26.125	26.250	26.250	26.125	26.188	26.125	26.188	26.188	26.125	26.250	26.125	26.125	
26.063	26.000	26.125	26.188	26.063	26.250	26.250	26.125	26.125	26.125	26.188	26.125	26.063	26.188	26.125	26.125	
26.063	25.938	26.125	26.188	26.063	26.250	26.250	26.125	26.188	26.125	26.125	26.125	26.063	26.188	26.125	26.125	
26.000	25.938	26.125	26.125	26.063	26.250	26.188	26.063	26.125	26.063	26.125	26.125	26.063	26.188	26.063	26.125	
26.000	25.938	26.063	26.125	26.063	26.250	26.188	26.063	26.125	26.125	26.125	26.125	26.063	26.188	26.063	26.125	
26.000	25.938	26.063	26.125	26.063	26.188	26.188	26.063	26.125	26.063	26.125	26.063	26.063	26.188	26.063	26.063	
26.000	25.875	26.063	26.125	26.000	26.188	26.188	26.063	26.125	26.063	26.125	26.125	26.063	26.125	26.063	26.063	
25.938	25.875	26.063	26.063	26.000	26.188	26.125	26.000	26.063	26.063	26.063	26.063	26.000	26.125	26.000	26.063	
25.938	25.875	26.063	26.063	26.000	26.188	26.125	26.000	26.125	26.063	26.063	26.063	26.000	26.125	26.000	26.063	
25.938	25.875	26.000	26.063	26.000	26.125	26.125	26.000	26.063	26.000	26.063	26.063	26.000	26.125	26.000	26.063	
25.938	25.875	26.000	26.063	26.000	26.125	26.125	26.000	26.063	26.000	26.063	26.063	26.000	26.125	26.000	26.063	
25.875	25.813	26.000	26.063	25.938	26.125	26.063	26.000	26.063	26.000	26.000	26.000	25.938	26.063	25.938	26.000	
25.875	25.813	26.000	26.063	25.938	26.125	26.063	26.000	26.000	26.000	26.000	26.000	25.938	26.063	26.000	26.000	
25.875	25.813	25.938	26.000	25.875	26.063	26.063	25.938	26.000	25.938	26.000	26.000	25.938	26.063	25.938	26.000	
25.875	25.813	25.938	26.000	25.875	26.063	26.063	25.938	26.000	25.938	26.000	26.000	25.938	26.063	25.938	26.000	
25.813	25.750	25.938	26.000	25.875	26.063	26.000	25.938	25.938	25.938	25.938	25.938	25.875	26.000	25.875	26.000	
25.813	25.750	25.938	26.000	25.875	26.063	26.000	25.938	25.938	25.938	25.938	25.938	25.875	26.000	25.875	25.938	
25.813	25.750	25.875	25.938	25.875	26.063	26.000	25.875	25.938	25.938	25.938	25.938	25.875	26.000	25.875	25.938	
25.813	25.750	25.875	25.938	25.875	26.063	26.000	25.875	25.938	25.938	25.938	25.938	25.875	26.000	25.875	25.938	
25.750	25.750	25.875	25.938	25.813	26.000	25.938	25.875	25.875	25.875	25.875	25.938	25.813	26.000	25.813	25.938	
25.750	25.750	25.875	25.938	25.813	26.000	25.938	25.875	25.938	25.875	25.875	25.938	25.813	26.000	25.813	25.938	
25.750	25.688	25.813	25.875	25.750	26.000	25.938	25.813	25.875	25.875	25.875	25.875	25.813	25.938	25.813	25.875	
25.750	25.688	25.813	25.875	25.813	26.000	25.938	25.813	25.875	25.875	25.875	25.875	25.813	25.938	25.813	25.875	
25.688	25.688	25.813	25.875	25.750	25.938	25.875	25.813	25.875	25.813	25.813	25.875	25.750	25.938	25.750	25.813	
25.688	25.688	25.813	25.875	25.750	25.938	25.875	25.813	25.813	25.813	25.813	25.875	25.750	25.938	25.750	25.875	
25.688	25.625	25.750	25.813	25.750	25.938	25.875	25.750	25.813	25.813	25.813	25.813	25.750	25.875	25.750	25.813	
25.688	25.625	25.750	25.813	25.750	25.938	25.875	25.750	25.813	25.813	25.813	25.813	25.750	25.875	25.750	25.813	
